AL, D0, 2010102112, 03, DSHP,  24, 120N,  261W,  30,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, DSHP,  36, 134N,  278W,  33,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, DSHP,  48, 150N,  296W,  34,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, DSHP,  60, 169N,  316W,  31,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, DSHP,  72, 191N,  337W,  26,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, DSHP,  84, 213N,  356W,  21,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, DSHP,  96, 227N,  366W,  22,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, DSHP, 108, 234N,  374W,  22,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, DSHP, 120, 237N,  381W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, EEMN,   0,  90N,  233W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, GFD5,   0,  96N,  225W,  21, 1011,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, GFD5,   6, 104N,  205W,  35, 1006,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, GFD5,  12, 129N,  220W,  36, 1007,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, GFD5,  18, 134N,  229W,  49, 1003,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, GFD5,  24, 137N,  241W,  41, 1007,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, GFD5,  30, 140N,  252W,  40, 1005,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, GFD5,  36, 151N,  262W,  48, 1007,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, GFD5,  42, 164N,  266W,  49, 1004,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, GFD5,  48, 174N,  275W,  51, 1005,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, GFD5,  54, 184N,  280W,  46, 1004,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, GFD5,  60, 200N,  286W,  52, 1004,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, GFD5,  66, 204N,  286W,  57, 1001,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, GFD5,  72, 210N,  288W,  43, 1006,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, GFD5,  78, 212N,  292W,  35, 1005,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, GFD5,  84, 217N,  297W,  39, 1009,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, GFD5,  90, 221N,  296W,  49, 1008,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, GFD5,  96, 224N,  299W,  39, 1009,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, GFD5, 102, 228N,  299W,  36, 1008,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, GFD5, 108, 232N,  299W,  40, 1010,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, GFD5, 114, 234N,  300W,  36, 1009,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, GFD5, 120, 238N,  303W,  41, 1008,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, GFD5, 126, 240N,  307W,  37, 1005,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, GFDL,   0,  96N,  225W,  21, 1011,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, GFDL,   6, 104N,  206W,  34, 1006,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, GFDL,  12, 130N,  219W,  35, 1007,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, GFDL,  18, 133N,  230W,  47, 1003,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, GFDL,  24, 139N,  242W,  41, 1004,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, GFDL,  30, 149N,  250W,  47, 1002,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, GFDL,  36, 156N,  258W,  48, 1005,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, GFDL,  42, 170N,  264W,  52,  999,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, GFDL,  48, 183N,  269W,  58, 1001,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, GFDL,  54, 196N,  273W,  58,  998,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, GFDL,  60, 202N,  277W,  49, 1003,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, GFDL,  66, 207N,  273W,  52, 1003,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, GFDL,  72, 208N,  275W,  45, 1007,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, GFDL,  78, 208N,  281W,  36, 1007,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, GFDL,  84, 215N,  289W,  26, 1010,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, GFDL,  90, 216N,  293W,  27, 1009,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, GFDL,  96, 217N,  297W,  37, 1011,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, GFDL, 102, 219N,  295W,  30, 1009,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, GFDL, 108, 219N,  301W,  27, 1012,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, GFDL, 114, 228N,  299W,  35, 1009,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, GFDL, 120, 232N,  297W,  35, 1010,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, GFDL, 126, 238N,  301W,  37, 1007,   ,   0,    ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, GFDT,   0,  95N,  220W,  16, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, GFDT,   6, 119N,  207W,  32, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, GFDT,  12, 134N,  206W,  33, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, GFDT,  18, 138N,  227W,  38, 1006, XX,  34, NEQ,   42,    0,    0,   36, 
AL, D0, 2010102112, 03, GFDT,  24, 144N,  238W,  38, 1007, XX,  34, NEQ,   61,   51,    0,   49, 
AL, D0, 2010102112, 03, GFDT,  30, 151N,  248W,  46, 1005, XX,  34, NEQ,  171,   88,    0,    0, 
AL, D0, 2010102112, 03, GFDT,  36, 157N,  255W,  47, 1006, XX,  34, NEQ,  194,  108,    0,    0, 
AL, D0, 2010102112, 03, GFDT,  42, 171N,  261W,  54, 1003, XX,  34, NEQ,  175,  116,    0,   63, 
AL, D0, 2010102112, 03, GFDT,  42, 171N,  261W,  54, 1003, XX,  50, NEQ,   70,    0,    0,    0, 
AL, D0, 2010102112, 03, GFDT,  48, 181N,  266W,  57, 1004, XX,  34, NEQ,  163,  133,    0,  143, 
AL, D0, 2010102112, 03, GFDT,  48, 181N,  266W,  57, 1004, XX,  50, NEQ,   97,    0,    0,    0, 
AL, D0, 2010102112, 03, GFDT,  54, 196N,  270W,  55, 1003, XX,  34, NEQ,  126,  129,    0,   85, 
AL, D0, 2010102112, 03, GFDT,  54, 196N,  270W,  55, 1003, XX,  50, NEQ,   40,    0,    0,   35, 
AL, D0, 2010102112, 03, GFDT,  60, 200N,  273W,  47, 1007, XX,  34, NEQ,  131,  116,    0,   69, 
AL, D0, 2010102112, 03, GFDT,  66, 206N,  271W,  51, 1006, XX,  34, NEQ,   94,   94,   30,   61, 
AL, D0, 2010102112, 03, GFDT,  66, 206N,  271W,  51, 1006, XX,  50, NEQ,   23,    0,    0,   21, 
AL, D0, 2010102112, 03, GFDT,  72, 210N,  271W,  41, 1010, XX,  34, NEQ,   80,  105,    0,   29, 
AL, D0, 2010102112, 03, GFDT,  78, 214N,  278W,  30, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, GFDT,  84, 216N,  283W,  24, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, GFDT,  90, 217N,  288W,  24, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, GFDT,  96, 218N,  291W,  32, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, GFDT, 102, 220N,  290W,  24, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, GFDT, 108, 223N,  296W,  27, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, GFDT, 114, 230N,  296W,  32, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, GFDT, 120, 236N,  297W,  33, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D0, 2010102112, 03, GFDT, 126, 239N,  301W,  34, 1009, XX,  34, NEQ,   59,    0,    0,    0, 
