AL, D1, 2010080106, 01, CARQ, -24,  86N,  332W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, GFDL, 108, 234N,  628W,  53, 1002,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, GFDL, 114, 243N,  643W,  51, 1002,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, GFDL, 120, 250N,  653W,  54, 1003,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, GFDL, 126, 257N,  663W,  53, 1002,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, GFDT,   0,  98N,  361W,  28, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, GFDT,   6, 100N,  367W,  37, 1006, XX,  34, NEQ,   65,   73,   44,   29, 
AL, D1, 2010080112, 03, GFDT,  12, 101N,  374W,  46, 1007, XX,  34, NEQ,   35,   38,   29,   28, 
AL, D1, 2010080112, 03, GFDT,  18, 104N,  379W,  41, 1005, XX,  34, NEQ,   47,   47,    0,    0, 
AL, D1, 2010080112, 03, GFDT,  24, 112N,  389W,  39, 1006, XX,  34, NEQ,  102,   22,    0,   66, 
AL, D1, 2010080112, 03, GFDT,  30, 122N,  405W,  44, 1005, XX,  34, NEQ,  119,    0,    0,  106, 
AL, D1, 2010080112, 03, GFDT,  36, 126N,  422W,  60, 1005, XX,  34, NEQ,  100,   73,    0,  100, 
AL, D1, 2010080112, 03, GFDT,  36, 126N,  422W,  60, 1005, XX,  50, NEQ,   52,   42,    0,    0, 
AL, D1, 2010080112, 03, GFDT,  42, 134N,  441W,  66, 1004, XX,  34, NEQ,  167,   91,    0,  167, 
AL, D1, 2010080112, 03, GFDT,  42, 134N,  441W,  66, 1004, XX,  50, NEQ,   58,   53,    0,   57, 
AL, D1, 2010080112, 03, GFDT,  42, 134N,  441W,  66, 1004, XX,  64, NEQ,   39,    0,    0,   27, 
AL, D1, 2010080112, 03, GFDT,  48, 142N,  461W,  59, 1005, XX,  34, NEQ,  145,   97,    0,  144, 
AL, D1, 2010080112, 03, GFDT,  48, 142N,  461W,  59, 1005, XX,  50, NEQ,   78,    0,    0,   44, 
AL, D1, 2010080112, 03, GFDT,  54, 151N,  483W,  64, 1004, XX,  34, NEQ,  148,   99,    0,  135, 
AL, D1, 2010080112, 03, GFDT,  54, 151N,  483W,  64, 1004, XX,  50, NEQ,   64,    0,    0,   46, 
AL, D1, 2010080112, 03, GFDT,  60, 157N,  505W,  60, 1004, XX,  34, NEQ,  170,   96,    0,  158, 
AL, D1, 2010080112, 03, GFDT,  60, 157N,  505W,  60, 1004, XX,  50, NEQ,   55,    0,    0,    0, 
AL, D1, 2010080112, 03, GFDT,  66, 165N,  525W,  60, 1004, XX,  34, NEQ,  183,   95,    0,  182, 
AL, D1, 2010080112, 03, GFDT,  66, 165N,  525W,  60, 1004, XX,  50, NEQ,   56,   67,    0,   42, 
AL, D1, 2010080112, 03, GFDT,  72, 171N,  540W,  58, 1006, XX,  34, NEQ,  184,  116,    0,  198, 
AL, D1, 2010080112, 03, GFDT,  72, 171N,  540W,  58, 1006, XX,  50, NEQ,   79,   67,    0,    0, 
AL, D1, 2010080112, 03, GFDT,  78, 180N,  558W,  53, 1006, XX,  34, NEQ,  147,  105,    0,  127, 
AL, D1, 2010080112, 03, GFDT,  78, 180N,  558W,  53, 1006, XX,  50, NEQ,   74,    0,    0,    0, 
AL, D1, 2010080112, 03, GFDT,  84, 189N,  577W,  55, 1006, XX,  34, NEQ,  171,  117,    0,  126, 
AL, D1, 2010080112, 03, GFDT,  84, 189N,  577W,  55, 1006, XX,  50, NEQ,   88,    0,    0,    0, 
AL, D1, 2010080112, 03, GFDT,  90, 197N,  591W,  59, 1005, XX,  34, NEQ,  199,  118,    0,  209, 
AL, D1, 2010080112, 03, GFDT,  90, 197N,  591W,  59, 1005, XX,  50, NEQ,   98,   88,    0,    0, 
AL, D1, 2010080112, 03, GFDT,  96, 207N,  599W,  71, 1007, XX,  34, NEQ,  160,  109,    0,  198, 
AL, D1, 2010080112, 03, GFDT,  96, 207N,  599W,  71, 1007, XX,  50, NEQ,   88,   59,    0,    0, 
AL, D1, 2010080112, 03, GFDT,  96, 207N,  599W,  71, 1007, XX,  64, NEQ,   41,    0,    0,    0, 
AL, D1, 2010080112, 03, GFDT, 102, 221N,  612W,  53, 1007, XX,  34, NEQ,  140,  134,    0,  153, 
AL, D1, 2010080112, 03, GFDT, 102, 221N,  612W,  53, 1007, XX,  50, NEQ,   79,    0,    0,    0, 
AL, D1, 2010080112, 03, GFDT, 108, 234N,  626W,  52, 1006, XX,  34, NEQ,  153,  149,    0,  133, 
AL, D1, 2010080112, 03, GFDT, 108, 234N,  626W,  52, 1006, XX,  50, NEQ,   56,    0,    0,    0, 
AL, D1, 2010080112, 03, GFDT, 114, 242N,  641W,  51, 1005, XX,  34, NEQ,  172,  161,    0,   86, 
AL, D1, 2010080112, 03, GFDT, 114, 242N,  641W,  51, 1005, XX,  50, NEQ,  106,    0,    0,    0, 
AL, D1, 2010080112, 03, GFDT, 120, 248N,  651W,  57, 1005, XX,  34, NEQ,  154,  142,    0,   90, 
AL, D1, 2010080112, 03, GFDT, 120, 248N,  651W,  57, 1005, XX,  50, NEQ,   91,    0,    0,    0, 
AL, D1, 2010080112, 03, GFDT, 126, 256N,  661W,  54, 1004, XX,  34, NEQ,  156,  141,    0,   81, 
AL, D1, 2010080112, 03, GFDT, 126, 256N,  661W,  54, 1004, XX,  50, NEQ,   77,    0,    0,    0, 
AL, D1, 2010080112, 03, HWRF,   0, 100N,  362W,  26, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, HWRF,   6, 101N,  369W,  43, 1001, XX,  34, NEQ,   56,   56,   44,    0, 
AL, D1, 2010080112, 03, HWRF,  12, 105N,  376W,  58,  997, XX,  34, NEQ,   51,   51,   43,   47, 
AL, D1, 2010080112, 03, HWRF,  12, 105N,  376W,  58,  997, XX,  50, NEQ,   32,   27,    0,    0, 
AL, D1, 2010080112, 03, HWRF,  18, 110N,  386W,  43,  997, XX,  34, NEQ,   50,   55,    0,   46, 
AL, D1, 2010080112, 03, HWRF,  24, 113N,  397W,  46,  997, XX,  34, NEQ,   73,   63,   24,   62, 
AL, D1, 2010080112, 03, HWRF,  30, 119N,  410W,  53,  996, XX,  34, NEQ,   73,   55,   23,   50, 
AL, D1, 2010080112, 03, HWRF,  30, 119N,  410W,  53,  996, XX,  50, NEQ,   35,    0,    0,    0, 
AL, D1, 2010080112, 03, HWRF,  36, 126N,  424W,  50,  997, XX,  34, NEQ,   87,   42,    0,   65, 
AL, D1, 2010080112, 03, HWRF,  42, 133N,  439W,  55,  991, XX,  34, NEQ,   95,   66,   23,   82, 
AL, D1, 2010080112, 03, HWRF,  42, 133N,  439W,  55,  991, XX,  50, NEQ,   42,    0,    0,   30, 
AL, D1, 2010080112, 03, HWRF,  48, 141N,  458W,  61,  989, XX,  34, NEQ,  119,   67,   32,   69, 
AL, D1, 2010080112, 03, HWRF,  48, 141N,  458W,  61,  989, XX,  50, NEQ,   47,   27,    0,   31, 
AL, D1, 2010080112, 03, HWRF,  54, 148N,  475W,  68,  984, XX,  34, NEQ,  102,   69,   27,   90, 
AL, D1, 2010080112, 03, HWRF,  54, 148N,  475W,  68,  984, XX,  50, NEQ,   46,   29,    0,   37, 
AL, D1, 2010080112, 03, HWRF,  54, 148N,  475W,  68,  984, XX,  64, NEQ,   30,    0,    0,   24, 
AL, D1, 2010080112, 03, HWRF,  60, 156N,  491W,  71,  985, XX,  34, NEQ,  104,   77,   35,   80, 
AL, D1, 2010080112, 03, HWRF,  60, 156N,  491W,  71,  985, XX,  50, NEQ,   50,   30,    0,   44, 
AL, D1, 2010080112, 03, HWRF,  60, 156N,  491W,  71,  985, XX,  64, NEQ,   28,    0,    0,    0, 
AL, D1, 2010080112, 03, HWRF,  66, 164N,  508W,  70,  984, XX,  34, NEQ,  138,  100,   39,  113, 
AL, D1, 2010080112, 03, HWRF,  66, 164N,  508W,  70,  984, XX,  50, NEQ,   53,   42,    0,   42, 
AL, D1, 2010080112, 03, HWRF,  66, 164N,  508W,  70,  984, XX,  64, NEQ,   32,    0,    0,   23, 
AL, D1, 2010080112, 03, HWRF,  72, 172N,  525W,  74,  980, XX,  34, NEQ,  141,   94,   38,  101, 
AL, D1, 2010080112, 03, HWRF,  72, 172N,  525W,  74,  980, XX,  50, NEQ,   57,   48,    0,   47, 
AL, D1, 2010080112, 03, HWRF,  72, 172N,  525W,  74,  980, XX,  64, NEQ,   38,    0,    0,   30, 
AL, D1, 2010080112, 03, HWRF,  78, 180N,  541W,  78,  977, XX,  34, NEQ,  123,   86,   45,   99, 
AL, D1, 2010080112, 03, HWRF,  78, 180N,  541W,  78,  977, XX,  50, NEQ,   59,   44,   27,   51, 
AL, D1, 2010080112, 03, HWRF,  78, 180N,  541W,  78,  977, XX,  64, NEQ,   38,   22,    0,   33, 
AL, D1, 2010080112, 03, HWRF,  84, 188N,  555W,  78,  981, XX,  34, NEQ,  100,   81,   45,   83, 
AL, D1, 2010080112, 03, HWRF,  84, 188N,  555W,  78,  981, XX,  50, NEQ,   52,   36,    0,   41, 
AL, D1, 2010080112, 03, HWRF,  84, 188N,  555W,  78,  981, XX,  64, NEQ,   32,    0,    0,   23, 
AL, D1, 2010080112, 03, HWRF,  90, 196N,  569W,  73,  985, XX,  34, NEQ,  105,   82,   39,   82, 
AL, D1, 2010080112, 03, HWRF,  90, 196N,  569W,  73,  985, XX,  50, NEQ,   56,   43,    0,   41, 
AL, D1, 2010080112, 03, HWRF,  90, 196N,  569W,  73,  985, XX,  64, NEQ,   32,    0,    0,   23, 
AL, D1, 2010080112, 03, HWRF,  96, 206N,  580W,  72,  986, XX,  34, NEQ,  111,   88,   38,   83, 
AL, D1, 2010080112, 03, HWRF,  96, 206N,  580W,  72,  986, XX,  50, NEQ,   53,   39,   17,   42, 
AL, D1, 2010080112, 03, HWRF,  96, 206N,  580W,  72,  986, XX,  64, NEQ,   33,    0,    0,   29, 
AL, D1, 2010080112, 03, HWRF, 102, 216N,  592W,  71,  988, XX,  34, NEQ,  112,   86,   37,   78, 
AL, D1, 2010080112, 03, HWRF, 102, 216N,  592W,  71,  988, XX,  50, NEQ,   49,   35,    0,   42, 
AL, D1, 2010080112, 03, HWRF, 102, 216N,  592W,  71,  988, XX,  64, NEQ,   27,    0,    0,    0, 
AL, D1, 2010080112, 03, HWRF, 108, 226N,  605W,  61,  993, XX,  34, NEQ,   87,   77,   23,   68, 
AL, D1, 2010080112, 03, HWRF, 108, 226N,  605W,  61,  993, XX,  50, NEQ,   43,    0,    0,   31, 
AL, D1, 2010080112, 03, HWRF, 114, 234N,  617W,  59,  995, XX,  34, NEQ,   98,   80,   38,   64, 
AL, D1, 2010080112, 03, HWRF, 114, 234N,  617W,  59,  995, XX,  50, NEQ,   39,   36,    0,   28, 
AL, D1, 2010080112, 03, HWRF, 120, 245N,  629W,  49,  998, XX,  34, NEQ,   92,   68,    0,   54, 
AL, D1, 2010080112, 03, HWRF, 126, 256N,  639W,  54,  999, XX,  34, NEQ,   90,   82,    0,   40, 
AL, D1, 2010080112, 03, HWRF, 126, 256N,  639W,  54,  999, XX,  50, NEQ,   33,   31,    0,    0, 
AL, D1, 2010080112, 03, LBAR,   0, 100N,  363W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, LBAR,  12, 107N,  386W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, LBAR,  24, 113N,  416W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, LBAR,  36, 121N,  450W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, LBAR,  48, 128N,  487W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, LBAR,  60, 138N,  524W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, LBAR,  72, 146N,  558W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, LBAR,  84, 158N,  582W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, LBAR,  96, 197N,  612W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, LBAR, 108, 212N,  632W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, LGEM,   0, 100N,  363W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, LGEM,  12, 107N,  382W,  31,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, LGEM,  24, 114N,  406W,  39,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, LGEM,  36, 124N,  433W,  48,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, LGEM,  48, 137N,  465W,  59,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, LGEM,  60, 152N,  497W,  69,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, LGEM,  72, 167N,  529W,  74,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, LGEM,  84, 184N,  558W,  75,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, LGEM,  96, 199N,  584W,  73,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, LGEM, 108, 214N,  604W,  69,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, LGEM, 120, 227N,  620W,  63,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, SHF5,   0,   0N,    0W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, SHF5,  12,   0N,    0W,  30,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, SHF5,  24,   0N,    0W,  35,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, SHF5,  36,   0N,    0W,  39,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, SHF5,  48,   0N,    0W,  42,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, SHF5,  60,   0N,    0W,  44,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, SHF5,  72,   0N,    0W,  46,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, SHF5,  84,   0N,    0W,  47,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, SHF5,  96,   0N,    0W,  48,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, SHF5, 108,   0N,    0W,  46,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, SHF5, 120,   0N,    0W,  54,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, SHFR,  12,   0N,    0W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, SHFR,  24,   0N,    0W,  29,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, SHFR,  36,   0N,    0W,  32,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, SHFR,  48,   0N,    0W,  34,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, SHFR,  60,   0N,    0W,  35,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, SHFR,  72,   0N,    0W,  36,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, SHIP,   0, 100N,  363W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, SHIP,  12, 107N,  382W,  34,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, SHIP,  24, 114N,  406W,  47,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, SHIP,  36, 124N,  433W,  58,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, SHIP,  48, 137N,  465W,  68,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, SHIP,  60, 152N,  497W,  74,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, SHIP,  72, 167N,  529W,  76,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, SHIP,  84, 184N,  558W,  77,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, SHIP,  96, 199N,  584W,  76,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, SHIP, 108, 214N,  604W,  72,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, SHIP, 120, 227N,  620W,  68,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, XTRP,   0, 100N,  363W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, XTRP,  12, 106N,  380W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, XTRP,  24, 112N,  398W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, XTRP,  36, 118N,  416W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, XTRP,  48, 124N,  434W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, XTRP,  60, 130N,  452W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, XTRP,  72, 137N,  471W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, XTRP,  84, 143N,  489W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, XTRP,  96, 149N,  507W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, XTRP, 108, 155N,  526W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, XTRP, 120, 161N,  544W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, XTRP, 132, 167N,  562W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, XTRP, 144, 173N,  581W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, XTRP, 156, 179N,  599W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, XTRP, 168, 185N,  618W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080112, 03, ZGFS,   0,  99N,  357W,  21, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080118, 01, CARQ, -24,  90N,  341W,  20,    0, LO,  34, AAA,    0,    0,    0,    0, 
AL, D1, 2010080118, 01, CARQ, -18,  92N,  347W,  20,    0, LO,  34, AAA,    0,    0,    0,    0, 
AL, D1, 2010080118, 01, CARQ, -12,  94N,  353W,  20,    0, LO,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X, 290,   6, 
AL, D1, 2010080118, 01, CARQ,  -6,  96N,  358W,  25,    0, LO,  34, AAA,    0,    0,    0,    0, 
AL, D1, 2010080118, 01, CARQ,   0,  98N,  363W,  25, 1007, LO,  34, NEQ,    0,    0,    0,    0, 1010,  160,  50,   0,   0,   L,   0,   X, 290,   6,     INVEST, M, 
AL, D1, 2010080118, 01, CARQ,   0,  98N,  363W,  25, 1007, LO,  50, NEQ,    0,    0,    0,    0, 1010,  160,  50,   0,   0,   L,   0,   X, 290,   6,     INVEST, M, 
AL, D1, 2010080118, 01, CARQ,   0,  98N,  363W,  25, 1007, LO,  64, NEQ,    0,    0,    0,    0, 1010,  160,  50,   0,   0,   L,   0,   X, 290,   6,     INVEST, M, 
AL, D1, 2010080118, 03, AC00,   0, 107N,  357W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AC00,   6, 107N,  368W,  17, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AC00,  12, 111N,  375W,  16, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AC00,  18, 116N,  391W,  21, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AC00,  24, 124N,  411W,  21, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AC00,  30, 134N,  432W,  25, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AC00,  36, 135N,  459W,  29, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AC00,  42, 146N,  483W,  30, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AC00,  48, 162N,  507W,  29, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AC00,  54, 173N,  529W,  29, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AC00,  60, 193N,  554W,  28, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AC00,  66, 206N,  576W,  28, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AC00,  72, 217N,  600W,  25, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AC00,  78, 211N,  618W,  16, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AC00,  84, 210N,  629W,  16, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AC00,  90, 220N,  642W,  16, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AC00,  96, 236N,  653W,  16, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AC00, 102, 237N,  659W,  15, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AC00, 108, 256N,  665W,  15, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AC00, 114, 260N,  668W,  17, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AC00, 120, 272N,  664W,  16, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AC00, 126, 274N,  667W,  11, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AC00, 132, 289N,  666W,  15, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AC00, 138, 301N,  654W,  12, 1016, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AEMN,   0, 103N,  359W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AEMN,   6, 104N,  367W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AEMN,  12, 107N,  375W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AEMN,  18, 116N,  390W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AEMN,  24, 122N,  409W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AEMN,  30, 129N,  431W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AEMN,  36, 135N,  455W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AEMN,  42, 145N,  480W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AEMN,  48, 156N,  506W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AP01,   0, 110N,  352W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AP01,   6, 111N,  366W,  17, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AP01,  12, 114N,  374W,  22, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AP01,  18, 123N,  393W,  22, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AP01,  24, 129N,  412W,  22, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AP01,  30, 139N,  433W,  25, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AP01,  36, 135N,  457W,  28, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AP02,   0, 102N,  356W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AP02,   6, 103N,  368W,  13, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AP02,  12, 104N,  375W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AP02,  18, 117N,  387W,  21, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AP02,  24, 122N,  409W,  20, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AP02,  30, 130N,  434W,  24, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AP02,  36, 137N,  458W,  28, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AP02,  42, 147N,  486W,  28, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AP02,  48, 156N,  513W,  26, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AP03,   0, 100N,  369W,  21, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AP03,   6, 104N,  370W,  16, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AP03,  12, 119N,  375W,  21, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AP03,  18, 125N,  392W,  23, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AP03,  24, 135N,  415W,  24, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AP03,  30, 142N,  439W,  28, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AP03,  36, 159N,  466W,  30, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AP03,  42, 168N,  494W,  30, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AP03,  48, 186N,  517W,  29, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AP03,  54, 203N,  542W,  28, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AP03,  60, 218N,  570W,  29, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D1, 2010080118, 03, AP03,  66, 223N,  594W,  29, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
