AL, B8, 2010083100, 03, SHIP,  48, 122N,  357W,  47,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, SHIP,  60, 126N,  373W,  53,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, SHIP,  72, 129N,  387W,  56,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, SHIP,  84, 134N,  402W,  58,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, SHIP,  96, 140N,  419W,  60,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, SHIP, 108, 146N,  439W,  64,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, SHIP, 120, 152N,  460W,  68,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, XTRP,   0, 103N,  266W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, XTRP,  12, 107N,  295W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, XTRP,  24, 111N,  325W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, XTRP,  36, 115N,  355W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, XTRP,  48, 120N,  385W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, XTRP,  60, 124N,  415W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, XTRP,  72, 128N,  446W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, XTRP,  84, 132N,  476W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, XTRP,  96, 136N,  506W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, XTRP, 108, 140N,  537W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, XTRP, 120, 144N,  567W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, XTRP, 132, 149N,  598W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, XTRP, 144, 153N,  628W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, XTRP, 156, 157N,  659W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083100, 03, XTRP, 168, 161N,  690W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B8, 2010083106, 01, CARQ, -24,  95N,  207W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, B8, 2010083106, 01, CARQ, -18,  99N,  236W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, B8, 2010083106, 01, CARQ, -12,  99N,  251W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X, 272,  14, 
AL, B8, 2010083106, 01, CARQ,  -6, 100N,  265W,  25,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, B8, 2010083106, 01, CARQ,   0, 103N,  280W,  25, 1009, DB,  34, NEQ,    0,    0,    0,    0, 1012,  150,  45,   0,   0,   L,   0,   X, 275,  15,     INVEST, S, 
AL, B8, 2010083106, 01, CARQ,   0, 103N,  280W,  25, 1009, DB,  50, NEQ,    0,    0,    0,    0, 1012,  150,  45,   0,   0,   L,   0,   X, 275,  15,     INVEST, S, 
AL, B8, 2010083106, 01, CARQ,   0, 103N,  280W,  25, 1009, DB,  64, NEQ,    0,    0,    0,    0, 1012,  150,  45,   0,   0,   L,   0,   X, 275,  15,     INVEST, S, 
AL, B8, 2010083106, 03, AP02,   0,  87N,  285W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, B8, 2010083106, 03, AP02,   6,  89N,  296W,  18, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, B8, 2010083106, 03, AP02,  12,  92N,  307W,  16, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, B8, 2010083106, 03, AP02,  18,  83N,  328W,  16, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
