EP, A5, 2010062100, 03, AP03,   0,  81N,  904W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03, AP03,   6,  88N,  927W,  10, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03, AP03,  12,  91N,  937W,  12, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03, AP03,  18,  91N,  940W,  12, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03, AP03,  24,  89N,  924W,  12, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03, AP03,  30,  97N,  925W,  13, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03, AP03,  36,  92N,  929W,  13, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03, AP03,  42,  90N,  947W,  17, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03, AP03,  48,  95N,  952W,  15, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03, AP04,   0,  88N,  900W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03, AP04,   6,  91N,  907W,  13, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03, AP08,   0,  84N,  907W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03, AP08,   6,  93N,  925W,  11, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03, AP08,  12,  95N,  918W,  14, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03, AP08,  18,  99N,  922W,  13, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03, AP08,  24, 101N,  920W,  13, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03, AP08,  30,  96N,  926W,  14, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03, AP08,  36,  91N,  950W,  17, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03, AP08,  42,  94N,  950W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03, AP08,  48,  93N,  944W,  15, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03, AP08,  54,  98N,  940W,  11, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03, AP09,   0,  77N,  913W,  20, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03, AP09,   6,  90N,  927W,  10, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03, AP09,  12,  95N,  937W,  10, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03, AP09,  18,  97N,  937W,  12, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03, AP09,  24, 102N,  935W,  10, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03, AP09,  30, 103N,  939W,  12, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03, AP09,  36,  86N,  939W,  22, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03, AP09,  42,  92N,  933W,  19, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03, AP09,  48,  94N,  930W,  17, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03, AP09,  54,  98N,  930W,  14, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03, AP09,  60,  99N,  930W,  14, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03, AP09,  66, 102N,  940W,  12, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03, AP10,   0,  78N,  897W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A5, 2010062100, 03, AP11,   0,  81N,  902W,  15, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
