AL, D5, 2010122018, 03, HWRF,  12, 113N,  570W,  24, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, HWRF,  18, 115N,  580W,  31, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, HWRF,  24, 117N,  589W,  22, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, HWRF,  30, 119N,  597W,  22, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, HWRF,  36, 119N,  605W,  21, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, HWRF,  42, 120N,  613W,  21, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, HWRF,  48, 121N,  619W,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, HWRF,  54, 122N,  625W,  21, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, HWRF,  60, 124N,  631W,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, HWRF,  66, 112N,  647W,  24, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, HWRF,  72, 123N,  648W,  18, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, HWRF,  78, 128N,  649W,  21, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, HWRF,  84, 115N,  648W,  29, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, HWRF,  90, 125N,  657W,  25, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, HWRF,  96, 134N,  660W,  22, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, HWRF, 102, 134N,  667W,  23, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, HWRF, 108, 138N,  676W,  21, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, HWRF, 114, 122N,  695W,  28, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, HWRF, 120, 104N,  728W,  25, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, HWRF, 126,  97N,  735W,  28, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, IVCN,   0,   0N,    0W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, IVCN,  12,   0N,    0W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, IVCN,  24,   0N,    0W,  28,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, IVCN,  36,   0N,    0W,  26,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, IVCN,  48,   0N,    0W,  24,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, IVCN,  60,   0N,    0W,  19,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, LBAR,   0, 116N,  551W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, LBAR,  12, 125N,  566W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, LBAR,  24, 142N,  580W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, LBAR,  36, 162N,  578W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, D5, 2010122018, 03, LBAR,  48, 178N,  557W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
