EP, A6, 2010071118, 03, HWRF,  30, 135N,  980W,  39,  998, XX,  34, NEQ,   50,   42,    0,    0, 
EP, A6, 2010071118, 03, HWRF,  36, 139N,  994W,  50,  994, XX,  34, NEQ,   49,   37,   34,   33, 
EP, A6, 2010071118, 03, HWRF,  36, 139N,  994W,  50,  994, XX,  50, NEQ,    0,   26,    0,    0, 
EP, A6, 2010071118, 03, HWRF,  42, 145N, 1002W,  36, 1000, XX,  34, NEQ,   59,   33,    0,    0, 
EP, A6, 2010071118, 03, HWRF,  48, 152N, 1014W,  40, 1002, XX,  34, NEQ,   73,   41,    0,    0, 
EP, A6, 2010071118, 03, HWRF,  54, 156N, 1032W,  35, 1002, XX,  34, NEQ,   74,    0,    0,    0, 
EP, A6, 2010071118, 03, HWRF,  60, 158N, 1046W,  29, 1002, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, HWRF,  66, 157N, 1059W,  32, 1001, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, HWRF,  72, 153N, 1069W,  30, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, HWRF,  78, 152N, 1075W,  29, 1002, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, HWRF,  84, 152N, 1085W,  26, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, HWRF,  90, 150N, 1095W,  26, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, HWRF,  96, 150N, 1108W,  30, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, HWRF, 102, 151N, 1117W,  25, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, HWRF, 108, 147N, 1129W,  25, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, HWRF, 114, 147N, 1137W,  24, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, HWRF, 120, 144N, 1146W,  23, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, HWRF, 126, 146N, 1153W,  21, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, IVCN,   0,   0N,    0W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, IVCN,  12,   0N,    0W,  22,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, IVCN,  24,   0N,    0W,  24,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, IVCN,  36,   0N,    0W,  29,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, IVCN,  48,   0N,    0W,  32,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, A6, 2010071118, 03, IVCN,  60,   0N,    0W,  36,    0,   ,   0,    ,    0,    0,    0,    0, 
