AL, C4, 2010091812, 03, AEMN,   6, 130N,  287W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AEMN,  12, 135N,  299W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AEMN,  18, 139N,  313W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AEMN,  24, 143N,  324W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AEMN,  30, 146N,  329W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AEMN,  36, 151N,  335W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AEMN,  42, 152N,  341W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AEMN,  48, 155N,  344W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AEMN,  54, 157N,  346W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AEMN,  60, 159N,  348W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AEMN,  66, 161N,  349W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AEMN,  72, 161N,  353W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AEMN,  78, 162N,  357W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AEMN,  84, 163N,  361W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AEMN,  90, 162N,  366W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AEMN,  96, 165N,  374W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AEMN, 102, 166N,  382W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AEMN, 108, 168N,  389W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AEMN, 114, 170N,  396W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AEMN, 120, 172N,  405W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AEMN, 126, 176N,  417W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AEMN, 132, 179N,  422W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AEMN, 138, 179N,  430W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AEMN, 144, 181N,  439W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AEMN, 150, 182N,  448W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AEMN, 156, 183N,  455W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AEMN, 162, 183N,  465W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AEMN, 168, 183N,  477W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AEMN, 174, 186N,  487W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AEMN, 180, 187N,  494W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AEMN, 186, 190N,  512W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AEMN, 192, 194N,  524W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AEMN, 198, 203N,  533W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AEMN, 204, 208N,  549W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AEMN, 210, 212N,  558W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AEMN, 216, 217N,  568W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AEMN, 222, 223N,  576W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AEMN, 228, 228N,  583W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AEMN, 234, 232N,  592W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AEMN, 240, 239N,  602W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP01,   0, 131N,  276W,  15, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP01,   6, 133N,  282W,  16, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C4, 2010091812, 03, AP01,  12, 139N,  299W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
