EP, B2, 2010082000, 03, AP14,   0, 171N, 1053W,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP14,   6, 177N, 1056W,  14, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP14,  12, 180N, 1063W,  16, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP14,  18, 180N, 1068W,  13, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP14,  24, 183N, 1089W,  11, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP14,  30, 183N, 1099W,   9, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP14,  36, 187N, 1105W,   7, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP14,  42, 188N, 1105W,  11, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP15,   0, 169N, 1064W,  21, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP15,   6, 180N, 1077W,  14, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP15,  12, 182N, 1081W,  14, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP15,  18, 179N, 1083W,  14, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP15,  24, 180N, 1088W,  15, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP15,  30, 176N, 1080W,  13, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP15,  36, 178N, 1079W,  13, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP15,  42, 176N, 1082W,  14, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP15,  48, 181N, 1083W,  16, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP15,  54, 178N, 1084W,  13, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP15,  60, 178N, 1086W,  13, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP15,  66, 177N, 1089W,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP15,  72, 172N, 1094W,  13, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP15,  78, 171N, 1098W,  12, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP15,  84, 170N, 1097W,  12, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP15,  90, 167N, 1102W,  12, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP15,  96, 166N, 1104W,  14, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP15, 102, 164N, 1106W,  12, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP15, 108, 165N, 1111W,  13, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP15, 114, 160N, 1106W,  13, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP15, 120, 159N, 1100W,  14, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP15, 126, 156N, 1104W,  13, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP15, 132, 159N, 1101W,  15, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP15, 138, 160N, 1096W,  11, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP15, 144, 154N, 1086W,  12, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP15, 150, 149N, 1070W,  15, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP16,   0, 171N, 1065W,  23, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP16,   6, 181N, 1070W,  16, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP16,  12, 184N, 1079W,  17, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP16,  18, 182N, 1087W,  17, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP16,  24, 184N, 1093W,  14, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP16,  30, 186N, 1100W,  13, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP16,  36, 188N, 1104W,  12, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP16,  42, 188N, 1113W,  12, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP17,   0, 182N, 1077W,  19, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP17,   6, 181N, 1095W,  13, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP17,  12, 181N, 1106W,  15, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP17,  18, 181N, 1111W,  15, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP17,  24, 185N, 1113W,  16, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP17,  30, 186N, 1114W,  14, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, B2, 2010082000, 03, AP17,  36, 188N, 1117W,  14, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
