EP, A0, 2010052518, 03, AP04, 132, 200N,  781W,  16, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP04, 138, 202N,  783W,  16, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP04, 144, 205N,  783W,  17, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP04, 150, 210N,  781W,  19, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP05,   0, 114N,  886W,  21, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP05,   6, 110N,  877W,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP05,  12, 115N,  874W,  24, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP05,  18, 110N,  885W,  28, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP05,  24, 110N,  898W,  30, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP05,  30, 114N,  896W,  31, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP05,  36, 122N,  881W,  29, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP05,  42, 130N,  879W,  29, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP05,  48, 140N,  877W,  21, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP05,  54, 145N,  874W,  15, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP05,  60, 146N,  872W,  15, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP05,  66, 154N,  861W,  13, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP05,  72, 159N,  854W,  13, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP05,  78, 159N,  847W,  13, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP05,  84, 164N,  834W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP05,  90, 171N,  828W,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP05,  96, 179N,  811W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP05, 102, 198N,  795W,  13, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP05, 108, 207N,  784W,  13, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP05, 114, 220N,  777W,  16, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP05, 120, 239N,  764W,  18, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP05, 126, 243N,  757W,  21, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP05, 132, 250N,  760W,  17, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP05, 138, 251N,  761W,  14, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP05, 144, 257N,  755W,  15, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP05, 150, 259N,  753W,  11, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP06,   0, 109N,  880W,  20, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP06,   6, 113N,  874W,  21, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP06,  12, 116N,  880W,  22, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP06,  18, 119N,  875W,  21, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP06,  24, 115N,  881W,  29, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP06,  30, 114N,  878W,  29, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP06,  36, 120N,  871W,  32, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP06,  42, 125N,  870W,  30, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP06,  48, 130N,  870W,  27, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP06,  54, 137N,  869W,  17, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP06,  60, 139N,  869W,  16, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP06,  66, 141N,  863W,  15, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP06,  72, 148N,  859W,   7, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP06,  78, 153N,  856W,  13, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP06,  84, 161N,  853W,  12, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP06,  90, 161N,  848W,  12, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP06,  96, 159N,  845W,  15, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP06, 102, 160N,  836W,  17, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP06, 108, 160N,  831W,  15, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP06, 114, 161N,  831W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP06, 120, 171N,  828W,  18, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP06, 126, 179N,  822W,  20, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP06, 132, 186N,  824W,  20, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP07,   0, 121N,  888W,  22, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP07,   6, 119N,  899W,  19, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP07,  12, 122N,  902W,  18, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP08,   0, 110N,  871W,  23, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP08,   6, 110N,  879W,  26, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP08,  12, 115N,  885W,  24, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP08,  18, 118N,  883W,  24, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP08,  24, 118N,  882W,  27, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP08,  30, 126N,  878W,  27, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP08,  36, 136N,  876W,  22, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP08,  42, 141N,  875W,  17, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP08,  48, 136N,  874W,  25, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP08,  54, 132N,  861W,  24, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP08,  60, 140N,  853W,  14, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP08,  66, 151N,  848W,  16, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP08,  72, 160N,  840W,  21, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP08,  78, 161N,  830W,  17, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP08,  84, 171N,  821W,  20, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP08,  90, 173N,  812W,  23, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP08,  96, 181N,  796W,  25, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP08, 102, 190N,  781W,  21, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP08, 108, 200N,  772W,  20, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A0, 2010052518, 03, AP08, 114, 203N,  761W,  23, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
