AL, F3, 2010110906, 03, BAMD, 168, 233N,  310W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, BAMM,  12, 144N,  705W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, BAMM,  24, 152N,  713W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, BAMM,  36, 161N,  721W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, BAMM,  48, 170N,  724W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, BAMM,  60, 174N,  726W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, BAMM,  72, 176N,  722W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, BAMM,  84, 180N,  701W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, BAMM,  96, 193N,  655W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, BAMM, 108, 224N,  590W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, BAMM, 120, 267N,  523W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, BAMM, 132, 307N,  461W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, BAMM, 144, 338N,  407W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, BAMM, 156, 364N,  364W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, BAMM, 168, 387N,  319W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, BAMS,  12, 147N,  702W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, BAMS,  24, 160N,  709W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, BAMS,  36, 172N,  718W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, BAMS,  48, 180N,  723W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, BAMS,  60, 185N,  729W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, BAMS,  72, 185N,  732W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, BAMS,  84, 186N,  733W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, BAMS,  96, 184N,  729W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, BAMS, 108, 186N,  724W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, BAMS, 120, 190N,  712W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, BAMS, 132, 196N,  699W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, BAMS, 144, 195N,  685W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, BAMS, 156, 190N,  679W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, BAMS, 168, 182N,  681W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, CLIP,  12, 136N,  701W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, CLIP,  24, 138N,  709W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, CLIP,  36, 141N,  721W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, CLIP,  48, 145N,  735W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, CLIP,  72, 155N,  765W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, CLP5,  12, 136N,  701W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, CLP5,  24, 140N,  707W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, CLP5,  36, 144N,  714W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, CLP5,  48, 151N,  719W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, CLP5,  60, 154N,  723W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, CLP5,  72, 158N,  726W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, CLP5,  84, 165N,  729W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, CLP5,  96, 173N,  738W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, CLP5, 108, 185N,  749W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, CLP5, 120, 193N,  758W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, DSHP,   0, 135N,  697W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, DSHP,  12, 144N,  705W,  29,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, DSHP,  24, 152N,  713W,  32,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, DSHP,  36, 161N,  721W,  35,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, DSHP,  48, 170N,  724W,  36,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, DSHP,  60, 174N,  726W,  34,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, DSHP,  72, 176N,  722W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, DSHP,  84, 180N,  701W,  23,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, DSHP,  96, 193N,  655W,  18,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, DSHP, 108, 224N,  590W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, DSHP, 120, 267N,  523W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, GFD5,   0, 137N,  695W,  25, 1005,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, GFD5,   6, 140N,  694W,  45, 1002,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, GFD5,  12, 148N,  695W,  34, 1003,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, GFD5,  18, 152N,  699W,  39, 1001,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, GFD5,  24, 159N,  702W,  44, 1002,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, GFD5,  30, 166N,  702W,  38, 1003,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, GFD5,  36, 175N,  702W,  39, 1002,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, GFD5,  42, 188N,  692W,  40, 1003,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, GFD5,  48, 198N,  681W,  44, 1001,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, GFD5,  54, 204N,  666W,  49,  999,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, GFD5,  60, 212N,  651W,  55,  996,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, GFD5,  66, 216N,  629W,  52, 1000,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, GFD5,  72, 227N,  608W,  60,  994,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, GFD5,  78, 240N,  587W,  53,  997,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, GFD5,  84, 255N,  563W,  52,  997,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, GFD5,  90, 273N,  538W,  53,  993,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, GFD5,  96, 293N,  516W,  41,  997,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, GFD5, 102, 314N,  495W,  47,  998,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, GFD5, 108, 333N,  472W,  48,  997,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, GFD5, 114, 355N,  457W,  40,  997,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, GFDL,   0, 137N,  695W,  25, 1005,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, GFDL,   6, 140N,  694W,  45, 1002,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, GFDL,  12, 147N,  695W,  33, 1002,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, GFDL,  18, 154N,  699W,  38, 1002,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, GFDL,  24, 160N,  701W,  35, 1001,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, GFDL,  30, 167N,  703W,  41, 1003,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, GFDL,  36, 176N,  701W,  43, 1002,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, GFDL,  42, 189N,  692W,  43, 1000,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, GFDL,  48, 200N,  683W,  41, 1002,   ,   0,    ,    0,    0,    0,    0, 
AL, F3, 2010110906, 03, GFDL,  54, 206N,  668W,  46,  999,   ,   0,    ,    0,    0,    0,    0, 
