EP, B8, 2010100718, 03, BAMD,  84, 100N, 1278W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, BAMD,  96, 101N, 1290W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, BAMD, 108, 104N, 1304W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, BAMD, 120, 109N, 1317W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, BAMD, 132, 116N, 1331W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, BAMD, 144, 124N, 1345W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, BAMD, 156, 133N, 1357W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, BAMD, 168, 143N, 1364W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, BAMM,  12,  97N, 1184W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, BAMM,  24,  94N, 1205W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, BAMM,  36,  92N, 1228W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, BAMM,  48,  90N, 1253W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, BAMM,  60,  89N, 1278W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, BAMM,  72,  88N, 1302W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, BAMM,  84,  88N, 1323W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, BAMM,  96,  89N, 1340W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, BAMM, 108,  93N, 1356W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, BAMM, 120,  98N, 1371W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, BAMM, 132, 105N, 1386W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, BAMM, 144, 114N, 1404W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, BAMM, 156, 127N, 1418W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, BAMM, 168, 141N, 1428W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, BAMS,  12,  99N, 1187W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, BAMS,  24,  98N, 1213W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, BAMS,  36,  97N, 1243W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, BAMS,  48,  98N, 1275W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, BAMS,  60, 100N, 1306W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, BAMS,  72, 101N, 1336W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, BAMS,  84, 102N, 1366W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, BAMS,  96, 106N, 1394W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, BAMS, 108, 110N, 1418W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, BAMS, 120, 115N, 1440W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, BAMS, 132, 122N, 1460W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, BAMS, 144, 129N, 1478W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, BAMS, 156, 134N, 1494W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, BAMS, 168, 140N, 1507W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, CLIP,  12, 100N, 1178W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, CLIP,  24, 103N, 1193W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, CLIP,  36, 107N, 1211W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, CLIP,  48, 111N, 1227W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, CLIP,  60, 117N, 1242W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, CLIP,  72, 124N, 1253W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, CLP5,  12, 102N, 1178W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, CLP5,  24, 107N, 1194W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, CLP5,  36, 112N, 1210W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, CLP5,  48, 119N, 1224W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, CLP5,  60, 123N, 1240W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, CLP5,  72, 128N, 1255W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, CLP5,  84, 135N, 1268W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, CLP5,  96, 141N, 1281W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, CLP5, 108, 146N, 1294W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, CLP5, 120, 151N, 1309W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, DSHP,   0, 100N, 1162W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, DSHP,  12,  97N, 1184W,  23,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, DSHP,  24,  94N, 1205W,  19,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, DSHP,  36,  92N, 1228W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, DSHP,  48,  90N, 1253W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, DSHP,  60,  89N, 1278W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, B8, 2010100718, 03, DSHP,  72,  88N, 1302W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
