AL, C3, 2010080600, 01, CARQ, -24, 115N,  367W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP16, 186, 370N,  476W,  25, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP16, 192, 370N,  452W,  28, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP16, 198, 377N,  424W,  28, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP16, 204, 379N,  399W,  26, 1002, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP17,   0, 175N,  379W,  18, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP17,   6, 174N,  392W,  17, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP17,  12, 176N,  400W,  16, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP17,  18, 178N,  409W,  21, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP17,  24, 181N,  416W,  22, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP17,  30, 190N,  427W,  23, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP17,  36, 197N,  440W,  19, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP17,  42, 200N,  453W,  21, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP17,  48, 210N,  465W,  22, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP17,  54, 215N,  471W,  22, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP17,  60, 227N,  486W,  17, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP17,  66, 235N,  487W,  16, 1016, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP17,  72, 246N,  500W,  16, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP17,  78, 242N,  513W,  12, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP17,  84, 256N,  528W,  14, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP18,   0, 185N,  384W,  23, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP18,   6, 190N,  399W,  25, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP18,  12, 191N,  409W,  21, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP18,  18, 198N,  420W,  23, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP18,  24, 200N,  432W,  21, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP18,  30, 207N,  445W,  21, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP18,  36, 212N,  453W,  20, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP18,  42, 213N,  468W,  18, 1016, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP18,  48, 218N,  480W,  18, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP18,  54, 220N,  491W,  18, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP18,  60, 227N,  500W,  17, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP18,  66, 231N,  510W,  17, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP18,  72, 232N,  522W,  16, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP19,   0, 180N,  381W,  21, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP19,   6, 182N,  397W,  17, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP20,   0, 178N,  388W,  20, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP20,   6, 182N,  398W,  19, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP20,  12, 182N,  405W,  18, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP20,  18, 189N,  420W,  20, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP20,  24, 197N,  431W,  22, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP20,  30, 200N,  445W,  19, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP20,  36, 209N,  456W,  19, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP20,  42, 225N,  469W,  24, 1016, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP20,  48, 229N,  480W,  20, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP20,  54, 231N,  491W,  20, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP20,  60, 238N,  504W,  21, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP20,  66, 240N,  512W,  20, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP20,  72, 243N,  521W,  22, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP20,  78, 250N,  532W,  21, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP20,  84, 254N,  538W,  21, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP20,  90, 260N,  540W,  22, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP20,  96, 267N,  547W,  27, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP20, 102, 276N,  549W,  25, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP20, 108, 282N,  542W,  22, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP20, 114, 286N,  535W,  20, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP20, 120, 291N,  531W,  25, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP20, 126, 299N,  523W,  26, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP20, 132, 306N,  519W,  25, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP20, 138, 309N,  511W,  24, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP20, 144, 312N,  502W,  25, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP20, 150, 320N,  491W,  25, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP20, 156, 327N,  480W,  25, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP20, 162, 334N,  467W,  26, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP20, 168, 341N,  453W,  26, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP20, 174, 351N,  443W,  30, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP20, 180, 361N,  430W,  28, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP20, 186, 368N,  420W,  26, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP20, 192, 372N,  411W,  28, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP20, 198, 382N,  406W,  27, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP20, 204, 389N,  400W,  28, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP20, 210, 401N,  400W,  28, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP20, 216, 413N,  391W,  33, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP20, 222, 427N,  384W,  34, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP20, 228, 438N,  383W,  34, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP20, 234, 455N,  378W,  33, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AP20, 240, 471N,  381W,  33, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AVN2,   0, 175N,  375W,  25,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AVN2,  12, 183N,  405W,  26,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AVN2,  24, 194N,  435W,  26,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AVN2,  36, 207N,  461W,  27,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AVN2,  48, 213N,  486W,  25,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AVN2,  60, 217N,  509W,  22,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AVN2,  72, 220N,  528W,  20,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AVN2,  84, 223N,  545W,  19,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AVN2,  96, 226N,  558W,  18,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AVN2, 108, 236N,  564W,  17,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AVN2, 120, 248N,  563W,  18,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AVN2, 132, 260N,  562W,  18,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AVN2, 144, 269N,  560W,  17,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AVN2, 156, 279N,  551W,  17,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AVN2, 168, 285N,  543W,  16,    0,   ,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AVNO,   0, 179N,  381W,  19, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AVNO,   6, 183N,  395W,  22, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AVNO,  12, 184N,  406W,  21, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AVNO,  18, 190N,  422W,  23, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AVNO,  24, 193N,  433W,  23, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AVNO,  30, 200N,  448W,  24, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AVNO,  36, 206N,  460W,  22, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AVNO,  42, 204N,  475W,  21, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AVNO,  48, 205N,  492W,  19, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AVNO,  54, 209N,  506W,  19, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AVNO,  60, 214N,  516W,  20, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AVNO,  66, 214N,  522W,  20, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AVNO,  72, 217N,  535W,  17, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AVNO,  78, 219N,  549W,  17, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AVNO,  84, 223N,  555W,  16, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AVNO,  90, 225N,  561W,  16, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AVNO,  96, 225N,  569W,  14, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AVNO, 102, 231N,  577W,  15, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AVNO, 108, 245N,  571W,  15, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AVNO, 114, 247N,  573W,  15, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AVNO, 120, 254N,  572W,  16, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AVNO, 126, 260N,  574W,  15, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AVNO, 132, 263N,  578W,  18, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, AVNO, 138, 266N,  578W,  14, 1016, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, BAMD,  12, 197N,  394W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, BAMD,  24, 217N,  413W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, BAMD,  36, 233N,  429W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, BAMD,  48, 240N,  443W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, BAMD,  60, 240N,  456W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, BAMD,  72, 237N,  467W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, BAMD,  84, 232N,  474W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, BAMD,  96, 227N,  478W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, BAMD, 108, 223N,  476W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, BAMD, 120, 221N,  471W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, BAMD, 132, 222N,  466W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, BAMD, 144, 222N,  464W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, BAMD, 156, 223N,  468W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, BAMD, 168, 226N,  475W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, BAMM,  12, 197N,  395W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, BAMM,  24, 214N,  417W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, BAMM,  36, 229N,  440W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, BAMM,  48, 239N,  460W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, BAMM,  60, 245N,  478W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, BAMM,  72, 248N,  492W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, BAMM,  84, 250N,  503W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, BAMM,  96, 252N,  510W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, BAMM, 108, 255N,  512W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, BAMM, 120, 259N,  509W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, BAMM, 132, 266N,  503W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, BAMM, 144, 274N,  494W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, BAMM, 156, 282N,  484W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, BAMM, 168, 289N,  474W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, BAMS,  12, 194N,  396W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, BAMS,  24, 210N,  421W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, BAMS,  36, 223N,  448W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, BAMS,  48, 232N,  475W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, BAMS,  60, 239N,  499W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, BAMS,  72, 243N,  520W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, BAMS,  84, 247N,  537W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, BAMS,  96, 251N,  551W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, BAMS, 108, 257N,  560W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, BAMS, 120, 261N,  565W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, BAMS, 132, 270N,  565W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, BAMS, 144, 277N,  561W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, BAMS, 156, 285N,  554W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, BAMS, 168, 289N,  545W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, CLIP,  12, 191N,  389W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, CLIP,  24, 207N,  403W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, CLIP,  36, 221N,  414W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, CLIP,  48, 235N,  424W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, CLIP,  72, 264N,  439W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, CLP5,  12, 191N,  390W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, CLP5,  24, 205N,  405W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, CLP5,  36, 220N,  419W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, CLP5,  48, 233N,  432W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, CLP5,  60, 248N,  444W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, CLP5,  72, 263N,  456W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, CLP5,  84, 277N,  466W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, CLP5,  96, 290N,  470W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, CLP5, 108, 303N,  474W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, CLP5, 120, 318N,  476W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, DSHP,   0, 175N,  375W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, DSHP,  12, 197N,  395W,  28,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, DSHP,  24, 214N,  417W,  32,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, DSHP,  36, 229N,  440W,  36,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, DSHP,  48, 239N,  460W,  39,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, DSHP,  60, 245N,  478W,  44,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, DSHP,  72, 248N,  492W,  48,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, DSHP,  84, 250N,  503W,  50,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, DSHP,  96, 252N,  510W,  49,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, DSHP, 108, 255N,  512W,  50,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, DSHP, 120, 259N,  509W,  49,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, GFD5,   0, 175N,  378W,  23, 1011,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, GFD5,   6, 179N,  388W,  29, 1010,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, GFD5,  12, 187N,  398W,  42, 1009,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, GFD5,  18, 196N,  412W,  42, 1009,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, GFD5,  24, 203N,  426W,  42, 1008,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, GFD5,  30, 211N,  438W,  42, 1008,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, GFD5,  36, 218N,  449W,  44, 1007,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, GFD5,  42, 228N,  461W,  52, 1004,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, GFD5,  48, 232N,  475W,  45, 1005,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, GFD5,  54, 238N,  487W,  43, 1005,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, GFD5,  60, 245N,  499W,  47, 1002,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, GFD5,  66, 250N,  508W,  51, 1000,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, GFD5,  72, 256N,  518W,  50,  997,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, GFD5,  78, 262N,  527W,  57,  994,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, GFD5,  84, 268N,  533W,  64,  989,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, GFD5,  90, 276N,  538W,  79,  983,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, GFD5,  96, 283N,  542W,  73,  977,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, GFD5, 102, 292N,  546W,  77,  976,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, GFD5, 108, 301N,  549W,  81,  975,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, GFD5, 114, 310N,  550W,  89,  968,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, GFD5, 120, 318N,  548W,  77,  970,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, GFD5, 126, 327N,  544W,  94,  966,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, GFDL,   0, 175N,  378W,  23, 1011,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, GFDL,   6, 179N,  387W,  29, 1010,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, GFDL,  12, 187N,  399W,  42, 1009,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, GFDL,  18, 196N,  412W,  40, 1010,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, GFDL,  24, 203N,  427W,  41, 1008,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, GFDL,  30, 210N,  440W,  44, 1008,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, GFDL,  36, 215N,  452W,  40, 1008,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, GFDL,  42, 222N,  463W,  45, 1007,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, GFDL,  48, 232N,  473W,  50, 1004,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, GFDL,  54, 239N,  489W,  44, 1005,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, GFDL,  60, 244N,  501W,  42, 1006,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, GFDL,  66, 249N,  511W,  48, 1003,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, GFDL,  72, 255N,  521W,  47, 1001,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, GFDL,  78, 262N,  529W,  49,  999,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, GFDL,  84, 268N,  538W,  47,  997,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, GFDL,  90, 276N,  544W,  54,  992,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, GFDL,  96, 284N,  551W,  60,  988,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, GFDL, 102, 292N,  556W,  56,  988,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, GFDL, 108, 300N,  559W,  55,  987,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, GFDL, 114, 306N,  560W,  64,  984,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, GFDL, 120, 313N,  559W,  64,  981,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, GFDL, 126, 321N,  557W,  71,  978,   ,   0,    ,    0,    0,    0,    0, 
AL, C3, 2010080706, 03, GFDT,   0, 171N,  375W,  25, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
