AL, C1, 2010080106, 03, AP08,  12,  99N,  364W,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP08,  18,  94N,  373W,  16, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP08,  24,  82N,  388W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP08,  30,  72N,  411W,  14, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP09,   0,  97N,  353W,  18, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP09,   6,  99N,  351W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP09,  12,  95N,  347W,  18, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP09,  18, 102N,  333W,  20, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP09,  24, 109N,  339W,  33, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP09,  30, 112N,  361W,  29, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP09,  36, 116N,  385W,  32, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP09,  42, 119N,  409W,  34, 1010, XX,  34, NEQ,   86,    0,    0,    0, 
AL, C1, 2010080106, 03, AP09,  48, 118N,  429W,  36, 1008, XX,  34, NEQ,    0,    0,    0,   81, 
AL, C1, 2010080106, 03, AP09,  54, 120N,  450W,  35, 1010, XX,  34, NEQ,   92,    0,    0,   60, 
AL, C1, 2010080106, 03, AP09,  60, 127N,  470W,  38, 1008, XX,  34, NEQ,  104,    0,    0,   76, 
AL, C1, 2010080106, 03, AP09,  66, 131N,  495W,  34, 1010, XX,  34, NEQ,  103,    0,    0,    0, 
AL, C1, 2010080106, 03, AP09,  72, 141N,  519W,  34, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP09,  78, 146N,  542W,  37, 1010, XX,  34, NEQ,  115,    0,    0,    0, 
AL, C1, 2010080106, 03, AP09,  84, 153N,  564W,  32, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP09,  90, 157N,  582W,  31, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP09,  96, 162N,  607W,  29, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP09, 102, 174N,  628W,  29, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP10,   0,  96N,  365W,  20, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP10,   6,  96N,  366W,  20, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP10,  12,  97N,  373W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP10,  18,  99N,  375W,  14, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP10,  24, 102N,  375W,  12, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP10,  30, 102N,  386W,  14, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP10,  36, 100N,  402W,  16, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP11,   0,  99N,  358W,  20, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP11,   6,  97N,  362W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP11,  12,  98N,  368W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP11,  18, 105N,  367W,  17, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, C1, 2010080106, 03, AP11,  24, 108N,  373W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
