EP, A2, 2010061418, 03, AP04,  42, 136N, 1077W,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP04,  48, 138N, 1078W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP04,  54, 140N, 1081W,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP04,  60, 139N, 1082W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP04,  66, 138N, 1088W,  17, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP04,  72, 140N, 1090W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP04,  78, 145N, 1089W,  17, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP04,  84, 147N, 1083W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP04,  90, 151N, 1092W,  14, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP04,  96, 148N, 1099W,  11, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP04, 102, 149N, 1101W,  13, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP04, 108, 150N, 1098W,  12, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP04, 114, 153N, 1098W,  13, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP04, 120, 152N, 1102W,  13, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP04, 126, 161N, 1099W,  10, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP04, 132, 160N, 1098W,  13, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP04, 138, 159N, 1096W,  11, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP06,   0, 133N, 1060W,  15, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP06,   6, 136N, 1059W,  16, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP06,  12, 137N, 1061W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP06,  18, 137N, 1058W,  18, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP06,  24, 139N, 1062W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP06,  30, 140N, 1062W,  21, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP06,  36, 140N, 1058W,  21, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP06,  42, 140N, 1056W,  23, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP06,  48, 140N, 1058W,  24, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP06,  54, 144N, 1059W,  23, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP06,  60, 146N, 1059W,  20, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP06,  66, 146N, 1069W,  18, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP06,  72, 147N, 1074W,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP06,  78, 149N, 1077W,  14, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP06,  84, 149N, 1078W,  13, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP06,  90, 150N, 1074W,  15, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP06,  96, 152N, 1072W,  14, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP06, 102, 155N, 1077W,  15, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP06, 108, 155N, 1082W,  13, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP06, 114, 159N, 1082W,  14, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP06, 120, 158N, 1087W,  13, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP06, 126, 158N, 1082W,  12, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP06, 132, 161N, 1081W,  14, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP06, 138, 162N, 1080W,  15, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP06, 144, 159N, 1087W,  13, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP06, 150, 153N, 1082W,  12, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP06, 156, 149N, 1083W,  14, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP07,   0, 129N, 1059W,  15, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP07,   6, 126N, 1063W,  13, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP07,  12, 130N, 1073W,  14, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP07,  18, 123N, 1079W,  21, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP07,  24, 127N, 1077W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP07,  30, 135N, 1081W,  14, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP07,  36, 134N, 1080W,  14, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP07,  42, 138N, 1077W,  15, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP07,  48, 138N, 1080W,  13, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP08,   0, 133N, 1051W,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP08,   6, 137N, 1059W,  12, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP08,  12, 142N, 1061W,  13, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP08,  18, 139N, 1065W,  13, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP08,  24, 142N, 1071W,  13, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP08,  30, 147N, 1072W,  14, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP08,  36, 146N, 1073W,  10, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP08,  42, 143N, 1076W,  14, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP08,  48, 148N, 1077W,  13, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP08,  54, 146N, 1082W,  15, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP08,  60, 143N, 1083W,  14, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP08,  66, 147N, 1094W,  15, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP08,  72, 144N, 1091W,  14, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP08,  78, 149N, 1092W,  13, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP08,  84, 148N, 1103W,  11, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP08,  90, 142N, 1101W,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP08,  96, 142N, 1107W,  14, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP08, 102, 144N, 1110W,  13, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP09,   0, 134N, 1068W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP09,   6, 132N, 1068W,  18, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP09,  12, 136N, 1069W,  20, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP09,  18, 135N, 1064W,  20, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP09,  24, 138N, 1063W,  20, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP09,  30, 141N, 1062W,  21, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP09,  36, 141N, 1058W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP09,  42, 141N, 1060W,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP09,  48, 139N, 1072W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP09,  54, 138N, 1075W,  21, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP09,  60, 140N, 1071W,  20, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP09,  66, 139N, 1070W,  21, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP09,  72, 142N, 1081W,  20, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP09,  78, 147N, 1088W,  15, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP09,  84, 144N, 1090W,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP09,  90, 140N, 1092W,  17, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP09,  96, 143N, 1101W,  16, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP09, 102, 148N, 1102W,  14, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP09, 108, 147N, 1111W,  15, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP09, 114, 147N, 1115W,  20, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP09, 120, 146N, 1115W,  15, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP09, 126, 145N, 1119W,  15, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP09, 132, 143N, 1122W,  14, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP09, 138, 143N, 1126W,  15, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP09, 144, 143N, 1123W,  15, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP10,   0, 136N, 1067W,  14, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP10,   6, 139N, 1071W,  16, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP10,  12, 141N, 1072W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, A2, 2010061418, 03, AP10,  18, 141N, 1074W,  19, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
