AL, B7, 2010082612, 03, EEMN,  96, 145N,  432W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, EEMN, 108, 151N,  469W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, EEMN, 120, 160N,  507W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, EEMN, 132, 172N,  540W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, EEMN, 144, 186N,  566W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, EEMN, 156, 201N,  586W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, EEMN, 168, 216N,  603W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, EEMN, 180, 231N,  610W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, EEMN, 192, 244N,  615W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, EEMN, 204, 258N,  614W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, EEMN, 216, 274N,  613W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, EEMN, 228, 289N,  612W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, EEMN, 240, 306N,  614W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, LBAR,   0, 115N,  190W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, LBAR,  12, 117N,  219W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, LBAR,  24, 120N,  250W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, LBAR,  36, 123N,  286W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, LBAR,  48, 124N,  321W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, LBAR,  60, 127N,  356W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, LBAR,  72, 128N,  391W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, LBAR,  84, 133N,  422W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, LBAR,  96, 145N,  455W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, LGEM,   0, 115N,  190W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, LGEM,  12, 118N,  214W,  22,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, LGEM,  24, 125N,  241W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, LGEM,  36, 133N,  271W,  30,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, LGEM,  48, 143N,  303W,  36,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, LGEM,  60, 152N,  337W,  43,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, LGEM,  72, 162N,  374W,  51,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, LGEM,  84, 173N,  412W,  58,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, LGEM,  96, 186N,  451W,  63,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, LGEM, 108, 205N,  487W,  63,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, LGEM, 120, 230N,  520W,  60,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, SHF5,   0,   0N,    0W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, SHF5,  12,   0N,    0W,  21,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, B7, 2010082612, 03, SHF5,  24,   0N,    0W,  24,    0,   ,   0,    ,    0,    0,    0,    0, 
