AL, A7, 2010071906, 03, SHIP,   0, 191N,  624W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, SHIP,  12, 201N,  651W,  29,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, SHIP,  24, 207N,  676W,  33,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, SHIP,  36, 213N,  701W,  36,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, SHIP,  48, 215N,  723W,  39,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, SHIP,  60, 216N,  746W,  42,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, SHIP,  72, 215N,  768W,  46,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, SHIP,  84, 215N,  788W,  51,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, SHIP,  96, 218N,  807W,  56,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, SHIP, 108, 223N,  825W,  61,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, SHIP, 120, 229N,  843W,  64,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, XTRP,   0, 191N,  624W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, XTRP,  12, 201N,  646W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, XTRP,  24, 211N,  669W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, XTRP,  36, 221N,  693W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, XTRP,  48, 232N,  716W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, XTRP,  60, 242N,  740W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, XTRP,  72, 252N,  764W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, XTRP,  84, 262N,  788W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, A7, 2010071906, 03, XTRP,  96, 272N,  812W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
