AL, E3, 2010080600, 03, AEMN, 216, 344N,  525W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AEMN, 222, 351N,  523W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP01,   0, 129N,  357W,  20, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP01,   6, 125N,  364W,  20, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP01,  12, 113N,  381W,  22, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP01,  18, 117N,  374W,  26, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP01,  24, 127N,  373W,  27, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP01,  30, 142N,  375W,  27, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP01,  36, 152N,  384W,  30, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP01,  42, 167N,  396W,  28, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP01,  48, 178N,  410W,  29, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP01,  54, 188N,  424W,  30, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP01,  60, 199N,  443W,  29, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP01,  66, 209N,  460W,  30, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP01,  72, 216N,  475W,  30, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP01,  78, 225N,  488W,  29, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP01,  84, 231N,  501W,  30, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP01,  90, 239N,  510W,  27, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP01,  96, 244N,  518W,  26, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP01, 102, 254N,  526W,  27, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP01, 108, 262N,  535W,  29, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP01, 114, 269N,  543W,  28, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP01, 120, 273N,  550W,  26, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP01, 126, 279N,  558W,  25, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP01, 132, 283N,  565W,  25, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP01, 138, 290N,  568W,  26, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP01, 144, 296N,  567W,  24, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP01, 150, 297N,  571W,  26, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP01, 156, 299N,  568W,  29, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP01, 162, 301N,  560W,  32, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
AL, E3, 2010080600, 03, AP01, 168, 307N,  545W,  35, 1005, XX,  34, NEQ,    0,  131,    0,    0, 
AL, E3, 2010080600, 03, AP01, 174, 313N,  530W,  37, 1001, XX,  34, NEQ,    0,  170,    0,    0, 
AL, E3, 2010080600, 03, AP01, 180, 324N,  511W,  40, 1002, XX,  34, NEQ,    0,  197,    0,    0, 
AL, E3, 2010080600, 03, AP01, 186, 340N,  490W,  46,  999, XX,  34, NEQ,  149,  247,  240,    0, 
AL, E3, 2010080600, 03, AP01, 192, 358N,  463W,  46,  998, XX,  34, NEQ,  115,  251,    0,    0, 
AL, E3, 2010080600, 03, AP01, 198, 380N,  445W,  46,  993, XX,  34, NEQ,  133,  296,  212,  250, 
AL, E3, 2010080600, 03, AP01, 204, 409N,  429W,  51,  989, XX,  34, NEQ,  313,  640,  193,  250, 
AL, E3, 2010080600, 03, AP01, 204, 409N,  429W,  51,  989, XX,  50, NEQ,   90,    0,    0,    0, 
AL, E3, 2010080600, 03, AP01, 210, 438N,  419W,  57,  985, XX,  34, NEQ,  317,  346,  214,  254, 
AL, E3, 2010080600, 03, AP01, 210, 438N,  419W,  57,  985, XX,  50, NEQ,   81,    0,   85,   89, 
AL, E3, 2010080600, 03, AP01, 216, 460N,  416W,  57,  983, XX,  34, NEQ,  308,  640,  183,  243, 
AL, E3, 2010080600, 03, AP01, 216, 460N,  416W,  57,  983, XX,  50, NEQ,   90,    0,   85,   91, 
AL, E3, 2010080600, 03, AP01, 222, 474N,  422W,  55,  981, XX,  34, NEQ,  645,  348,  141,  283, 
AL, E3, 2010080600, 03, AP01, 222, 474N,  422W,  55,  981, XX,  50, NEQ,    0,   83,   89,  167, 
AL, E3, 2010080600, 03, AP01, 228, 480N,  426W,  51,  982, XX,  34, NEQ,  307,  160,  188,  306, 
