AL, 93, 2015110618, 03, DSHP,  60, 221N,  942W,  21,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, DSHP,  72, 217N,  946W,  18,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, DSHP,  84, 212N,  953W,  17,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, DSHP,  96, 207N,  966W,  20,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, DSHP, 108, 206N,  985W,  23,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, DSHP, 120, 211N, 1002W,  26,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, IVCN,   0,   0N,    0W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, IVCN,  12,   0N,    0W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, IVCN,  24,   0N,    0W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, IVCN,  36,   0N,    0W,  28,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, IVCN,  48,   0N,    0W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, IVCN,  60,   0N,    0W,  23,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, IVCN,  72,   0N,    0W,  21,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, IVCN,  84,   0N,    0W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, IVCN,  96,   0N,    0W,  21,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, IVCN, 108,   0N,    0W,  23,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, IVCN, 120,   0N,    0W,  26,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, LBAR,   0, 198N,  910W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 93, 2015110618, 03, LBAR,  12, 212N,  926W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
