EP, 99, 2017092618, 03, OCD5,  72, 183N,  996W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, OCD5,  84, 191N, 1005W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, OCD5,  96, 196N, 1013W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, OCD5, 108, 201N, 1023W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, OCD5, 120, 205N, 1031W,  27,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, SHF5,   0,   0N,    0W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, SHF5,  12,   0N,    0W,  33,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, SHF5,  24,   0N,    0W,  44,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, SHF5,  36,   0N,    0W,  54,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, SHF5,  48,   0N,    0W,  60,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, SHF5,  60,   0N,    0W,  57,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, SHF5,  72,   0N,    0W,  58,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, SHF5,  84,   0N,    0W,  58,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, SHF5,  96,   0N,    0W,  56,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, SHF5, 108,   0N,    0W,  54,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, SHF5, 120,   0N,    0W,  55,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, SHIP,   0, 145N,  945W,  25,    0, TD,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, SHIP,  12, 152N,  951W,  29,    0, TD,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, SHIP,  24, 164N,  957W,  33,    0, TD,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, SHIP,  36, 173N,  967W,  41,    0, TS,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, SHIP,  48, 176N,  981W,  46,    0, TS,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, SHIP,  60, 177N,  997W,  50,    0, TS,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, SHIP,  72, 181N, 1016W,  52,    0, TS,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, SHIP,  84, 188N, 1035W,  52,    0, TS,   0,    ,    0,    0,    0,    0, 
EP, 99, 2017092618, 03, SHIP,  96, 196N, 1054W,  52,    0, TS,   0,    ,    0,    0,    0,    0, 
