AL, 17, 2005091318, 03, SHIP,  36, 102N,  440W,  33,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, SHIP,  48, 107N,  460W,  41,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, SHIP,  60, 114N,  480W,  50,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, SHIP,  72, 124N,  498W,  55,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, SHIP,  84, 134N,  513W,  61,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, SHIP,  96, 146N,  526W,  69,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, SHIP, 108, 156N,  536W,  75,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, SHIP, 120, 166N,  546W,  78,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, SHNS,   0,  95N,  385W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, SHNS,  12,  98N,  403W,  21,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, SHNS,  24, 100N,  420W,  25,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, SHNS,  36, 102N,  440W,  33,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, SHNS,  48, 107N,  460W,  41,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, SHNS,  60, 114N,  480W,  50,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, SHNS,  72, 124N,  498W,  56,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, SHNS,  84, 134N,  513W,  63,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, SHNS,  96, 146N,  526W,  70,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, SHNS, 108, 156N,  536W,  76,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, SHNS, 120, 166N,  546W,  80,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, XTRP,  12,  97N,  405W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, XTRP,  24,  99N,  425W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, XTRP,  36, 101N,  445W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, XTRP,  48, 103N,  465W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, XTRP,  60, 105N,  485W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, XTRP,  72, 107N,  505W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, XTRP,  84, 110N,  525W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, XTRP,  96, 112N,  545W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, XTRP, 108, 114N,  566W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091318, 03, XTRP, 120, 116N,  586W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091412, 01, CARQ, -24,  94N,  375W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, 17, 2005091412, 01, CARQ, -18,  95N,  385W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, 17, 2005091412, 01, CARQ, -12,  96N,  399W,  20,    0, DB,  34, AAA,    0,    0,    0,    0,    0,    0,   0,   0,   0,   L,   0,   X, 274,  14, 
AL, 17, 2005091412, 01, CARQ,  -6,  97N,  413W,  20,    0, DB,  34, AAA,    0,    0,    0,    0, 
AL, 17, 2005091412, 01, CARQ,   0,  98N,  427W,  20, 1010, DB,  34, NEQ,    0,    0,    0,    0, 1012,  150,  40,   0,   0,   L,   0,   X, 275,  14,     INVEST, D, 
AL, 17, 2005091412, 01, CARQ,   0,  98N,  427W,  20, 1010, DB,  50, NEQ,    0,    0,    0,    0, 1012,  150,  40,   0,   0,   L,   0,   X, 275,  14,     INVEST, D, 
AL, 17, 2005091412, 01, CARQ,   0,  98N,  427W,  20, 1010, DB,  64, NEQ,    0,    0,    0,    0, 1012,  150,  40,   0,   0,   L,   0,   X, 275,  14,     INVEST, D, 
AL, 17, 2005091412, 03, A90E,   0,  98N,  427W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091412, 03, A90E,  12, 101N,  455W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091412, 03, A90E,  24, 104N,  484W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091412, 03, A90E,  36, 108N,  512W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091412, 03, A90E,  48, 108N,  537W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091412, 03, A90E,  60, 113N,  560W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091412, 03, A90E,  72, 114N,  581W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091412, 03, A90E,  84, 115N,  601W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091412, 03, A90E,  96, 117N,  620W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091412, 03, A90E, 108, 120N,  638W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091412, 03, A90E, 120, 126N,  653W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091412, 03, A98E,   0,  98N,  427W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091412, 03, A98E,  12, 101N,  455W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091412, 03, A98E,  24, 104N,  483W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091412, 03, A98E,  36, 108N,  511W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091412, 03, A98E,  48, 108N,  536W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091412, 03, A98E,  60, 112N,  559W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091412, 03, A98E,  72, 114N,  579W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091412, 03, A98E,  84, 115N,  599W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091412, 03, A98E,  96, 117N,  618W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091412, 03, A98E, 108, 120N,  635W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091412, 03, A98E, 120, 126N,  650W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091412, 03, A9UK,   0,  98N,  427W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091412, 03, A9UK,  12, 101N,  455W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091412, 03, A9UK,  24, 103N,  483W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091412, 03, A9UK,  36, 105N,  510W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091412, 03, A9UK,  48, 103N,  534W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091412, 03, A9UK,  60, 107N,  556W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091412, 03, A9UK,  72, 109N,  577W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091412, 03, BAMD,  12, 101N,  443W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091412, 03, BAMD,  24, 100N,  463W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091412, 03, BAMD,  36,  99N,  485W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091412, 03, BAMD,  48,  95N,  508W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091412, 03, BAMD,  60,  95N,  530W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091412, 03, BAMD,  72,  96N,  550W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091412, 03, BAMD,  84, 100N,  565W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091412, 03, BAMD,  96, 105N,  577W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091412, 03, BAMD, 108, 111N,  587W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091412, 03, BAMD, 120, 118N,  597W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091412, 03, BAMM,  12, 100N,  450W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 17, 2005091412, 03, BAMM,  24, 101N,  474W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
