CP, 01, 2005080318, 03, AN05,  48, 166N, 1547W,  27, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AN05,  54, 166N, 1564W,  26, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AN05,  60, 164N, 1580W,  24, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AN05,  66, 169N, 1590W,  26, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AN05,  72, 164N, 1603W,  26, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AP01,   0, 139N, 1408W,  39, 1010, XX,  34, NEQ,    0,    0,    0,  170, 
CP, 01, 2005080318, 03, AP01,   6, 124N, 1420W,  32, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AP01,  12, 118N, 1434W,  26, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AP01,  18, 110N, 1450W,  23, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AP01,  24, 102N, 1458W,  20, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AP01,  30,  93N, 1461W,  15, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AP01,  36,  89N, 1468W,  21, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AP01,  42,  88N, 1484W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AP01,  48,  82N, 1492W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AP01,  54,  79N, 1505W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AP01,  60,  80N, 1518W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AP01,  66,  80N, 1535W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AP01,  72,  77N, 1551W,  18, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AP01,  78,  86N, 1560W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AP01,  84,  86N, 1572W,  20, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AP01,  90,  86N, 1587W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AP01,  96,  90N, 1591W,  18, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AP01, 102,  91N, 1597W,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AP01, 108,  91N, 1603W,  15, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AP01, 114,  93N, 1615W,  10, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AP01, 120,  91N, 1621W,  14, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AP01, 126,  93N, 1633W,  12, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AP01, 132,  89N, 1638W,  11, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AP02,   0, 140N, 1401W,  28, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AP02,   6, 138N, 1409W,  27, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AP02,  12, 131N, 1411W,  24, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AP02,  18, 127N, 1412W,  23, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AP02,  24, 124N, 1418W,  22, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AP02,  30, 120N, 1420W,  21, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AP02,  36, 120N, 1423W,  20, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AP02,  42, 114N, 1424W,  20, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AP02,  48, 120N, 1426W,  21, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AP03,   0, 138N, 1412W,  28, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AP03,   6, 134N, 1435W,  28, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AP04,   0, 141N, 1409W,  26, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AP04,   6, 141N, 1428W,  28, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AP04,  12, 140N, 1438W,  27, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AP04,  18, 141N, 1441W,  24, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AP04,  24, 147N, 1438W,  24, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AP04,  30, 141N, 1445W,  23, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AP04,  36, 133N, 1452W,  25, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AP04,  42, 129N, 1453W,  23, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AP04,  48, 133N, 1454W,  21, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AP04,  54, 135N, 1458W,  20, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AP04,  60, 130N, 1468W,  21, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AP04,  66, 131N, 1468W,  23, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AP05,   0, 140N, 1399W,  29, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AP05,   6, 130N, 1413W,  30, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AP05,  12, 126N, 1418W,  28, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AP05,  18, 127N, 1415W,  22, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AP05,  24, 121N, 1424W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AVNO,   0, 145N, 1412W,  28, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AVNO,   6, 141N, 1429W,  29, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AVNO,  12, 138N, 1440W,  28, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AVNO,  18, 138N, 1450W,  24, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AVNO,  24, 139N, 1456W,  23, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AVNO,  30, 141N, 1464W,  22, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AVNO,  36, 144N, 1474W,  28, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AVNO,  42, 147N, 1488W,  31, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AVNO,  48, 149N, 1501W,  33, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AVNO,  54, 148N, 1515W,  32, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AVNO,  60, 144N, 1524W,  26, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AVNO,  66, 143N, 1533W,  24, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AVNO,  72, 144N, 1543W,  25, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AVNO,  78, 145N, 1553W,  26, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AVNO,  84, 141N, 1562W,  27, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AVNO,  90, 140N, 1571W,  23, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AVNO,  96, 140N, 1582W,  21, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AVNO, 102, 138N, 1595W,  20, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AVNO, 108, 136N, 1605W,  16, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AVNO, 114, 134N, 1611W,  16, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, AVNO, 120, 130N, 1619W,  15, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, BAMD,  12, 153N, 1423W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, BAMD,  24, 154N, 1438W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, BAMD,  36, 155N, 1450W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, BAMD,  48, 158N, 1458W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 01, 2005080318, 03, BAMD,  60, 165N, 1463W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
