CP, 96, 2018090206, 03, AP09,  66, 552N, 1796W,  31, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP09,  72, 565N, 1797E,  27, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP09,  78, 578N, 1789E,  19, 1016, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP09,  84, 594N, 1798W,  17, 1018, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP09,  90, 607N, 1767W,  16, 1019, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP09,  96, 623N, 1721W,  17, 1019, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP09, 102, 626N, 1666W,  13, 1019, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP09, 108, 622N, 1621W,  15, 1019, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP09, 114, 607N, 1566W,  12, 1018, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP09, 120, 588N, 1505W,  18, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP09, 126, 569N, 1465W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP09, 132, 545N, 1454W,  16, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP09, 138, 535N, 1438W,  22, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP09, 144, 530N, 1431W,  26, 1000, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP09, 150, 526N, 1434W,  26,  999, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP09, 156, 523N, 1443W,  27,  999, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP09, 162, 517N, 1456W,  29,  999, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP09, 168, 507N, 1463W,  28,  998, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP09, 174, 498N, 1464W,  26,  997, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP09, 180, 489N, 1462W,  25,  995, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP09, 186, 491N, 1450W,  27,  996, XX,  34, NEQ,    0,    0,    0,  311, 
CP, 96, 2018090206, 03, AP09, 192, 496N, 1441W,  24,  997, XX,  34, NEQ,    0,    0,    0,  286, 
CP, 96, 2018090206, 03, AP09, 198, 504N, 1438W,  21,  998, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP09, 204, 504N, 1444W,  21,  999, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP09, 210, 487N, 1434W,  29,  998, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP09, 216, 500N, 1421W,  27,  996, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP09, 222, 507N, 1419W,  24,  995, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP09, 228, 508N, 1409W,  29,  995, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP09, 234, 511N, 1397W,  29,  995, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP09, 240, 514N, 1384W,  29,  995, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP10,   0, 397N, 1782W,  38,  996, XX,  34, NEQ,   95,   91,    0,   80, 
CP, 96, 2018090206, 03, AP10,   6, 403N, 1787W,  33,  998, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP10,  12, 408N, 1790W,  29,  999, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP10,  18, 414N, 1795W,  27, 1002, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP10,  24, 420N, 1798W,  23, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP10,  30, 429N, 1798E,  26, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP10,  36, 442N, 1797E,  25, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP10,  42, 459N, 1796E,  26, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP10,  48, 481N, 1794E,  31, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP10,  54, 507N, 1779E,  34, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP11,   0, 400N, 1778W,  37,  998, XX,  34, NEQ,   89,    0,    0,   67, 
CP, 96, 2018090206, 03, AP11,   6, 407N, 1780W,  31,  999, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP11,  12, 413N, 1781W,  28, 1000, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP11,  18, 419N, 1783W,  26, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP11,  24, 425N, 1785W,  23, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP11,  30, 433N, 1787W,  23, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP11,  36, 445N, 1787W,  24, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP11,  42, 459N, 1787W,  28, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP11,  48, 479N, 1790W,  33, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP11,  54, 501N, 1792E,  33, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP12,   0, 398N, 1781W,  40,  995, XX,  34, NEQ,   90,   77,    0,   73, 
CP, 96, 2018090206, 03, AP12,   6, 406N, 1783W,  33,  997, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP12,  12, 413N, 1784W,  31,  999, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP12,  18, 419N, 1787W,  28, 1002, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP12,  24, 426N, 1788W,  26, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP12,  30, 435N, 1789W,  26, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP12,  36, 448N, 1789W,  25, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP12,  42, 465N, 1790W,  30, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP12,  48, 485N, 1792W,  32, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP12,  54, 507N, 1796W,  35, 1007, XX,  34, NEQ,  179,    0,    0,    0, 
CP, 96, 2018090206, 03, AP12,  60, 530N, 1792E,  34, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP12,  66, 551N, 1778E,  32, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP12,  72, 573N, 1746E,  24, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP13,   0, 397N, 1780W,  37,  997, XX,  34, NEQ,   87,    0,    0,    0, 
CP, 96, 2018090206, 03, AP13,   6, 405N, 1783W,  31,  998, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP13,  12, 413N, 1785W,  29, 1001, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP13,  18, 420N, 1787W,  26, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP13,  24, 428N, 1788W,  24, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP13,  30, 436N, 1788W,  24, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP13,  36, 448N, 1788W,  24, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP13,  42, 462N, 1788W,  28, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP13,  48, 479N, 1791W,  30, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP13,  54, 502N, 1796W,  32, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP13,  60, 521N, 1781E,  31, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP14,   0, 396N, 1780W,  34,  998, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP14,   6, 402N, 1783W,  30, 1000, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP14,  12, 410N, 1787W,  27, 1001, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP14,  18, 416N, 1789W,  24, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP14,  24, 424N, 1791W,  23, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP14,  30, 433N, 1793W,  23, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP14,  36, 445N, 1794W,  24, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP14,  42, 460N, 1795W,  28, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP14,  48, 477N, 1794W,  30, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP14,  54, 495N, 1797E,  32, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP14,  60, 514N, 1776E,  28, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP15,   0, 399N, 1779W,  40,  995, XX,  34, NEQ,   92,    0,    0,   74, 
CP, 96, 2018090206, 03, AP15,   6, 405N, 1781W,  34,  996, XX,  34, NEQ,   94,    0,    0,    0, 
CP, 96, 2018090206, 03, AP15,  12, 411N, 1782W,  32,  999, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP15,  18, 416N, 1786W,  27, 1002, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP15,  24, 421N, 1789W,  25, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP15,  30, 428N, 1792W,  25, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP15,  36, 439N, 1791W,  27, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
CP, 96, 2018090206, 03, AP15,  42, 455N, 1790W,  26, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
