AL, 94, 2018101418, 03, AVNO,  24, 134N,  838W,  15, 1008, XX,  34, NEQ,    0,    0,    0,    0, 1007,   47, 158,   0,   0, 
AL, 94, 2018101418, 03, AVNO,  30, 134N,  853W,  16, 1007, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99, 154,   0,   0, 
AL, 94, 2018101418, 03, AVNO,  36, 131N,  865W,  18, 1008, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99, 158,   0,   0, 
AL, 94, 2018101418, 03, CLP5,  12, 150N,  813W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, CLP5,  24, 154N,  829W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, CLP5,  36, 158N,  840W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, CLP5,  48, 165N,  851W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, CLP5,  60, 171N,  863W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, CLP5,  72, 178N,  867W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, CLP5,  84, 183N,  866W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, CLP5,  96, 192N,  869W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, CLP5, 108, 202N,  867W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, CLP5, 120, 211N,  861W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, COTC,   0, 137N,  803W,  13, 1009, XX,  34, NEQ,    0,    0,    0,    0,    0,    0,  92,   0,   0, 
AL, 94, 2018101418, 03, COTC,   6, 136N,  810W,  27, 1000, XX,  34, NEQ,  265,    0,    0,  289,    0,    0, 102,   0,   0, 
AL, 94, 2018101418, 03, COTC,  12, 145N,  810W,  28, 1006, XX,  34, NEQ,    0,    0,    0,    0,    0,    0, 103,   0,   0, 
AL, 94, 2018101418, 03, COTC,  18, 153N,  811W,  29, 1005, XX,  34, NEQ,    0,    0,    0,    0,    0,    0,  25,   0,   0, 
AL, 94, 2018101418, 03, COTC,  24, 154N,  820W,  22, 1005, XX,  34, NEQ,    0,    0,    0,    0,    0,    0,  82,   0,   0, 
AL, 94, 2018101418, 03, COTC,  30, 157N,  839W,  18, 1002, XX,  34, NEQ,    0,    0,    0,    0,    0,    0, 107,   0,   0, 
AL, 94, 2018101418, 03, COTC,  36, 171N,  854W,  25, 1005, XX,  34, NEQ,    0,    0,    0,    0,    0,    0, 106,   0,   0, 
AL, 94, 2018101418, 03, COTC,  42, 177N,  860W,  26, 1004, XX,  34, NEQ,    0,    0,    0,    0,    0,    0,  52,   0,   0, 
AL, 94, 2018101418, 03, COTC,  48, 180N,  880W,  22, 1005, XX,  34, NEQ,    0,    0,    0,    0,    0,    0,  97,   0,   0, 
AL, 94, 2018101418, 03, CTCX,   0, 142N,  806W,  17, 1009, XX,  34, NEQ,    0,    0,    0,    0,    0,    0, 106,   0,   0, 
AL, 94, 2018101418, 03, CTCX,   6, 138N,  814W,  16, 1008, XX,  34, NEQ,    0,    0,    0,    0,    0,    0, 103,   0,   0, 
AL, 94, 2018101418, 03, DSHP,   0, 146N,  795W,  20,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, DSHP,  12, 148N,  813W,  23,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, DSHP,  24, 151N,  837W,  23,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, DSHP,  36, 156N,  866W,  25,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, DSHP,  48, 162N,  896W,  27,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, DSHP,  60, 165N,  926W,  27,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, DSHP,  72, 163N,  953W,  27,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, DSHP,  84, 157N,  981W,  32,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, DSHP,  96, 157N, 1006W,  39,    0, TS,   0,    ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, DSHP, 108, 165N, 1026W,  49,    0, TS,   0,    ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, DSHP, 120, 177N, 1039W,  56,    0, TS,   0,    ,    0,    0,    0,    0, 
AL, 94, 2018101418, 03, HMON,   0, 149N,  795W,  23, 1007, XX,  34, NEQ,    0,    0,    0,    0,  -99,  -99, 162,   0,   0, 
