EP, 18, 2008080818, 03, AP15,  42, 131N, 1109W,  15, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP15,  48, 132N, 1118W,  16, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP15,  54, 128N, 1118W,  18, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP15,  60, 129N, 1131W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP15,  66, 132N, 1135W,  18, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP15,  72, 127N, 1137W,  17, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP15,  78, 133N, 1143W,  16, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP15,  84, 130N, 1142W,  16, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP15,  90, 130N, 1149W,  18, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP15,  96, 131N, 1155W,  18, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP15, 102, 131N, 1162W,  21, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP15, 108, 135N, 1159W,  20, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP15, 114, 138N, 1161W,  21, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP15, 120, 140N, 1157W,  20, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP15, 126, 141N, 1161W,  20, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP15, 132, 145N, 1153W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP15, 138, 143N, 1150W,  19, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP17,   0, 126N, 1074W,  12, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP17,   6, 130N, 1080W,  13, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP17,  12, 133N, 1089W,  14, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP18,   0, 126N, 1071W,  13, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP18,   6, 118N, 1071W,  14, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP18,  12, 115N, 1072W,  13, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP18,  18, 108N, 1052W,  14, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP18,  24, 106N, 1062W,  13, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP18,  30, 112N, 1074W,  16, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP18,  36, 110N, 1079W,  13, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP18,  42, 111N, 1089W,  15, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP18,  48, 111N, 1091W,  13, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP18,  54, 110N, 1101W,  15, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP18,  60, 111N, 1106W,  15, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP18,  66, 117N, 1110W,  14, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP18,  72, 110N, 1111W,  15, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP18,  78, 110N, 1118W,  17, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP18,  84, 108N, 1121W,  17, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP18,  90, 110N, 1118W,  16, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP18,  96, 120N, 1111W,   9, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP18, 102, 115N, 1107W,  17, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP18, 108, 108N, 1109W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP18, 114, 110N, 1119W,  19, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP18, 120, 119N, 1129W,  10, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP20,   0, 124N, 1079W,  14, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080818, 03, AP20,   6, 117N, 1087W,  12, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AC00,   0, 129N, 1081W,  16, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AC00,   6, 126N, 1082W,  12, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AC00,  12, 129N, 1090W,  11, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AC00,  18, 129N, 1096W,  10, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AC00,  24, 126N, 1096W,  12, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AC00,  30, 130N, 1099W,  10, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AC00,  36, 129N, 1107W,  11, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AEMN,   0, 124N, 1082W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AEMN,   6, 123N, 1084W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AEMN,  12, 127N, 1090W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AEMN,  18, 131N, 1095W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AEMN,  24, 131N, 1095W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AEMN,  30, 131N, 1101W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AEMN,  36, 128N, 1104W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
EP, 18, 2008080900, 03, AEMN,  42, 130N, 1113W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
