EP, 06, 2008071712,   , BEST,   0, 171N, 1213W,  80,  977, HU,  34, NEQ,   60,   60,   50,   90, 1012,  250,  10, 105,   0,   E,   0,    ,   0,   0,      ELIDA, D, 12, NEQ, 150, 100, 100, 120
EP, 06, 2008071712,   , BEST,   0, 171N, 1213W,  80,  977, HU,  50, NEQ,   30,   30,   20,   40, 1012,  250,  10, 105,   0,   E,   0,    ,   0,   0,      ELIDA, D, 12, NEQ, 150, 100, 100, 120
EP, 06, 2008071712,   , BEST,   0, 171N, 1213W,  80,  977, HU,  64, NEQ,   15,   15,   10,   15, 1012,  250,  10, 105,   0,   E,   0,    ,   0,   0,      ELIDA, D, 12, NEQ, 150, 100, 100, 120
EP, 06, 2008071718,   , BEST,   0, 172N, 1227W,  70,  982, HU,  34, NEQ,   60,   50,   40,   75, 1012,  250,  15,  85,   0,   E,   0,    ,   0,   0,      ELIDA, D, 12, NEQ, 150, 100, 100, 120
EP, 06, 2008071718,   , BEST,   0, 172N, 1227W,  70,  982, HU,  50, NEQ,   30,   30,   20,   30, 1012,  250,  15,  85,   0,   E,   0,    ,   0,   0,      ELIDA, D, 12, NEQ, 150, 100, 100, 120
EP, 06, 2008071718,   , BEST,   0, 172N, 1227W,  70,  982, HU,  64, NEQ,   15,   15,    0,   15, 1012,  250,  15,  85,   0,   E,   0,    ,   0,   0,      ELIDA, D, 12, NEQ, 150, 100, 100, 120
EP, 06, 2008071800,   , BEST,   0, 174N, 1240W,  65,  987, HU,  34, NEQ,   60,   40,   30,   75, 1012,  250,  15,  75,   0,   E,   0,    ,   0,   0,      ELIDA, D, 12, NEQ, 150, 100, 100, 120
EP, 06, 2008071800,   , BEST,   0, 174N, 1240W,  65,  987, HU,  50, NEQ,   25,   20,   20,   30, 1012,  250,  15,  75,   0,   E,   0,    ,   0,   0,      ELIDA, D, 12, NEQ, 150, 100, 100, 120
EP, 06, 2008071800,   , BEST,   0, 174N, 1240W,  65,  987, HU,  64, NEQ,   15,    0,    0,   15, 1012,  250,  15,  75,   0,   E,   0,    ,   0,   0,      ELIDA, D, 12, NEQ, 150, 100, 100, 120
EP, 06, 2008071806,   , BEST,   0, 176N, 1253W,  55,  994, TS,  34, NEQ,   50,   40,   30,   60, 1012,  250,  15,  65,   0,   E,   0,    ,   0,   0,      ELIDA, D, 12, NEQ, 110,  75,  75,  75
EP, 06, 2008071806,   , BEST,   0, 176N, 1253W,  55,  994, TS,  50, NEQ,   25,   20,   20,   20, 1012,  250,  15,  65,   0,   E,   0,    ,   0,   0,      ELIDA, D, 12, NEQ, 110,  75,  75,  75
EP, 06, 2008071812,   , BEST,   0, 178N, 1267W,  50,  996, TS,  34, NEQ,   50,   40,   30,   50, 1012,  250,  20,  60,   0,   E,   0,    ,   0,   0,      ELIDA, D, 12, NEQ, 120,  75,  75,  75
EP, 06, 2008071812,   , BEST,   0, 178N, 1267W,  50,  996, TS,  50, NEQ,   25,   20,    0,   20, 1012,  250,  20,  60,   0,   E,   0,    ,   0,   0,      ELIDA, D, 12, NEQ, 120,  75,  75,  75
EP, 06, 2008071818,   , BEST,   0, 180N, 1281W,  40, 1000, TS,  34, NEQ,   50,    0,    0,   50, 1010,  175,  25,  50,   0,   E,   0,    ,   0,   0,      ELIDA, M, 
EP, 06, 2008071900,   , BEST,   0, 182N, 1293W,  35, 1003, TS,  34, NEQ,   45,    0,    0,   40, 1010,  175,  25,  45,   0,   E,   0,    ,   0,   0,      ELIDA, M, 
EP, 06, 2008071906,   , BEST,   0, 180N, 1305W,  30, 1004, TD,   0,    ,    0,    0,    0,    0, 1010,  175,  25,  40,   0,   E,   0,    ,   0,   0,      ELIDA, S, 
EP, 06, 2008071912,   , BEST,   0, 178N, 1316W,  30, 1005, LO,   0,    ,    0,    0,    0,    0, 1010,  175,  25,  40,   0,   E,   0,    ,   0,   0,      ELIDA, S, 
EP, 06, 2008071918,   , BEST,   0, 175N, 1328W,  30, 1006, LO,   0,    ,    0,    0,    0,    0, 1010,  175,  25,  40,   0,   E,   0,    ,   0,   0,      ELIDA, S, 
EP, 06, 2008072000,   , BEST,   0, 173N, 1341W,  30, 1007, LO,  34, NEQ,    0,    0,    0,    0, 
EP, 06, 2008072006,   , BEST,   0, 173N, 1355W,  25, 1008, LO,  34, NEQ,    0,    0,    0,    0, 
EP, 06, 2008072012,   , BEST,   0, 172N, 1371W,  25, 1009, LO,  34, NEQ,    0,    0,    0,    0, 
EP, 06, 2008072018,   , BEST,   0, 170N, 1386W,  25, 1009, LO,   0,    ,    0,    0,    0,    0, 
EP, 06, 2008072100,   , BEST,   0, 169N, 1400W,  25, 1009, LO,   0,    ,    0,    0,    0,    0, 
EP, 06, 2008072106,   , BEST,   0, 167N, 1415W,  25, 1009, LO,   0,    ,    0,    0,    0,    0, 
EP, 06, 2008072112,   , BEST,   0, 165N, 1432W,  25, 1010, LO,   0,    ,    0,    0,    0,    0, 
EP, 06, 2008072118,   , BEST,   0, 163N, 1449W,  25, 1010, LO,   0,    ,    0,    0,    0,    0, 
