EP, 08, 2009080806,   , BEST,   0, 189N, 1387W,  85,  973, HU,  34, NEQ,   90,   75,   75,   90, 1008,  180,  15, 100,   0,   E,   0,    ,   0,   0,    FELICIA, D, 12, NEQ, 175,  90,  75,  90
EP, 08, 2009080806,   , BEST,   0, 189N, 1387W,  85,  973, HU,  50, NEQ,   45,   35,   35,   45, 1008,  180,  15, 100,   0,   E,   0,    ,   0,   0,    FELICIA, D, 12, NEQ, 175,  90,  75,  90
EP, 08, 2009080806,   , BEST,   0, 189N, 1387W,  85,  973, HU,  64, NEQ,   30,   20,   20,   30, 1008,  180,  15, 100,   0,   E,   0,    ,   0,   0,    FELICIA, D, 12, NEQ, 175,  90,  75,  90
EP, 08, 2009080812,   , BEST,   0, 192N, 1401W,  80,  975, HU,  34, NEQ,   90,   75,   65,  100, 1008,  180,  15, 100,   0,   E,   0,    ,   0,   0,    FELICIA, D, 
EP, 08, 2009080812,   , BEST,   0, 192N, 1401W,  80,  975, HU,  50, NEQ,   45,   35,   35,   45, 1008,  180,  15, 100,   0,   E,   0,    ,   0,   0,    FELICIA, D, 
EP, 08, 2009080812,   , BEST,   0, 192N, 1401W,  80,  975, HU,  64, NEQ,   30,   20,   20,   30, 1008,  180,  15, 100,   0,   E,   0,    ,   0,   0,    FELICIA, D, 
EP, 08, 2009080818,   , BEST,   0, 195N, 1414W,  75,  981, HU,  34, NEQ,  100,   75,   60,  100, 1008,  180,  15,  90,   0,   E,   0,    ,   0,   0,    FELICIA, D, 12, NEQ, 120,  75,  60,  90
EP, 08, 2009080818,   , BEST,   0, 195N, 1414W,  75,  981, HU,  50, NEQ,   50,   35,   20,   50, 1008,  180,  15,  90,   0,   E,   0,    ,   0,   0,    FELICIA, D, 12, NEQ, 120,  75,  60,  90
EP, 08, 2009080818,   , BEST,   0, 195N, 1414W,  75,  981, HU,  64, NEQ,   30,   20,    0,   30, 1008,  180,  15,  90,   0,   E,   0,    ,   0,   0,    FELICIA, D, 12, NEQ, 120,  75,  60,  90
EP, 08, 2009080900,   , BEST,   0, 199N, 1427W,  75,  982, HU,  34, NEQ,  100,   75,   60,  100, 1008,  180,  15,  90,   0,   E,   0,    ,   0,   0,    FELICIA, D, 12, NEQ, 120,  75,  60, 120
EP, 08, 2009080900,   , BEST,   0, 199N, 1427W,  75,  982, HU,  50, NEQ,   50,   35,   20,   50, 1008,  180,  15,  90,   0,   E,   0,    ,   0,   0,    FELICIA, D, 12, NEQ, 120,  75,  60, 120
EP, 08, 2009080900,   , BEST,   0, 199N, 1427W,  75,  982, HU,  64, NEQ,   30,   20,    0,   30, 1008,  180,  15,  90,   0,   E,   0,    ,   0,   0,    FELICIA, D, 12, NEQ, 120,  75,  60, 120
EP, 08, 2009080906,   , BEST,   0, 202N, 1440W,  70,  984, HU,  34, NEQ,  100,   75,   60,  100, 1012,  120,  20,  90,   0,   E,   0,    ,   0,   0,    FELICIA, D, 12, NEQ, 120,  75,  60, 120
EP, 08, 2009080906,   , BEST,   0, 202N, 1440W,  70,  984, HU,  50, NEQ,   50,   35,   20,   50, 1012,  120,  20,  90,   0,   E,   0,    ,   0,   0,    FELICIA, D, 12, NEQ, 120,  75,  60, 120
EP, 08, 2009080906,   , BEST,   0, 202N, 1440W,  70,  984, HU,  64, NEQ,   30,   20,    0,   30, 1012,  120,  20,  90,   0,   E,   0,    ,   0,   0,    FELICIA, D, 12, NEQ, 120,  75,  60, 120
EP, 08, 2009080912,   , BEST,   0, 205N, 1453W,  60,  994, TS,  34, NEQ,   90,   65,   50,   90, 1012,  120,  20,  75,   0,   E,   0,    ,   0,   0,    FELICIA, D, 12, NEQ, 180,  80,  70, 180
EP, 08, 2009080912,   , BEST,   0, 205N, 1453W,  60,  994, TS,  50, NEQ,   45,   30,    0,   45, 1012,  120,  20,  75,   0,   E,   0,    ,   0,   0,    FELICIA, D, 12, NEQ, 180,  80,  70, 180
EP, 08, 2009080918,   , BEST,   0, 209N, 1465W,  45, 1001, TS,  34, NEQ,   90,   70,   50,   90, 1014,  150,  30,  55,   0,   E,   0,    ,   0,   0,    FELICIA, M, 12, NEQ, 180,  80,  70, 180
EP, 08, 2009081000,   , BEST,   0, 211N, 1478W,  45, 1002, TS,  34, NEQ,  100,   70,    0,  100, 1014,  150,  50,  55,   0,   E,   0,    ,   0,   0,    FELICIA, M, 12, NEQ, 150,  80,  70, 150
EP, 08, 2009081006,   , BEST,   0, 210N, 1487W,  45, 1003, TS,  34, NEQ,  120,   40,   40,  120, 1013,  120,  50,  55,   0,   E,   0,    ,   0,   0,    FELICIA, M, 12, NEQ, 125,  70,  50, 125
EP, 08, 2009081012,   , BEST,   0, 209N, 1497W,  40, 1005, TS,  34, NEQ,  110,   35,   35,  110, 1013,  120,  50,  50,   0,   E,   0,    ,   0,   0,    FELICIA, S, 12, NEQ, 200, 100,  80, 200
EP, 08, 2009081018,   , BEST,   0, 209N, 1506W,  40, 1007, TS,  34, NEQ,  120,    0,    0,   90, 1012,  120,  75,  50,   0,   E,   0,    ,   0,   0,    FELICIA, M, 12, NEQ, 190,  80,  70, 190
EP, 08, 2009081100,   , BEST,   0, 209N, 1516W,  35, 1007, TS,  34, NEQ,  120,    0,    0,   90, 1012,  120,  75,  45,   0,   E,   0,    ,   0,   0,    FELICIA, S, 12, NEQ, 190,  80,  70, 190
EP, 08, 2009081106,   , BEST,   0, 209N, 1525W,  35, 1007, TS,  34, NEQ,  120,    0,    0,   90, 1012,  120,  75,  45,   0,   E,   0,    ,   0,   0,    FELICIA, S, 12, NEQ, 190,  80,  70, 190
EP, 08, 2009081112,   , BEST,   0, 208N, 1533W,  30, 1010, TD,   0,    ,    0,    0,    0,    0, 1012,  120,  75,  40,   0,   E,   0,    ,   0,   0,    FELICIA, S, 12, NEQ, 190,  80,  70, 190
EP, 08, 2009081118,   , BEST,   0, 207N, 1542W,  30, 1010, TD,   0,    ,    0,    0,    0,    0, 1014,  100,  75,  40,   0,   E,   0,    ,   0,   0,    FELICIA, S, 12, NEQ, 190,  80,  70, 190
EP, 08, 2009081200,   , BEST,   0, 207N, 1547W,  25, 1011, DB,   0,    ,    0,    0,    0,    0, 
EP, 08, 2009081206,   , BEST,   0, 207N, 1551W,  25, 1011, DB,   0,    ,    0,    0,    0,    0, 
EP, 08, 2009081212,   , BEST,   0, 208N, 1556W,  25, 1011, DB,  34, NEQ,    0,    0,    0,    0, 1014,   90,  75,   0,   0,   E,   0,    ,   0,   0,    FELICIA, S, 
