AL, 03, 2009082418,   , BEST,   0, 500N,  412W,  60,  980, EX,  50, NEQ,  100,  175,   75,   75, 
AL, 03, 2009082500,   , BEST,   0, 503N,  354W,  60,  980, EX,  34, NEQ,  225,  275,  240,  150, 
AL, 03, 2009082500,   , BEST,   0, 503N,  354W,  60,  980, EX,  50, NEQ,  100,  175,   75,   75, 
AL, 03, 2009082506,   , BEST,   0, 507N,  296W,  60,  980, EX,  34, NEQ,  225,  275,  240,  150, 
AL, 03, 2009082506,   , BEST,   0, 507N,  296W,  60,  980, EX,  50, NEQ,  100,  175,   75,   75, 
AL, 03, 2009082512,   , BEST,   0, 512N,  238W,  60,  980, EX,  34, NEQ,  225,  275,  240,  150, 
AL, 03, 2009082512,   , BEST,   0, 512N,  238W,  60,  980, EX,  50, NEQ,  100,  175,   75,   75, 
AL, 03, 2009082518,   , BEST,   0, 520N,  180W,  50,  982, EX,  34, NEQ,  225,  275,  240,  150,  850,    0,   0,   0,   0, 
AL, 03, 2009082518,   , BEST,   0, 520N,  180W,  50,  982, EX,  50, NEQ,  100,  175,   75,   75,  850,    0,   0,   0,   0, 
AL, 03, 2009082600,   , BEST,   0, 530N,  130W,  40,  985, EX,  34, NEQ,  225,  275,  240,  150,  850,    0,   0,   0,   0, 
