AL, 18, 2011090618, 03, AP02,  30, 202N,  921W,  29, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP02,  36, 203N,  918W,  26, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP02,  42, 204N,  918W,  31, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP02,  48, 207N,  915W,  28, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP02,  54, 210N,  912W,  28, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP02,  60, 209N,  910W,  29, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP02,  66, 213N,  909W,  28, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP02,  72, 222N,  903W,  27, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP02,  78, 228N,  899W,  25, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP02,  84, 232N,  899W,  22, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP02,  90, 242N,  895W,  24, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP02,  96, 257N,  889W,  24, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP03,   0, 196N,  930W,  26, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP03,   6, 192N,  931W,  24, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP03,  12, 190N,  930W,  23, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP03,  18, 193N,  930W,  25, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP03,  24, 196N,  928W,  29, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP03,  30, 198N,  920W,  28, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP03,  36, 196N,  917W,  26, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP03,  42, 197N,  915W,  28, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP03,  48, 201N,  910W,  26, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP03,  54, 202N,  904W,  28, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP03,  60, 205N,  900W,  20, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP03,  66, 214N,  899W,  21, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP03,  72, 221N,  893W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP03,  78, 222N,  890W,  21, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP03,  84, 229N,  890W,  16, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP03,  90, 230N,  888W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP03,  96, 234N,  883W,  17, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP03, 102, 237N,  881W,  20, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP03, 108, 237N,  885W,  16, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP03, 114, 238N,  890W,  20, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP03, 120, 239N,  888W,  19, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP04,   0, 205N,  923W,  23, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP04,   6, 201N,  923W,  24, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP04,  12, 192N,  928W,  19, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP04,  18, 197N,  926W,  25, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP04,  24, 201N,  919W,  27, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP04,  30, 203N,  913W,  23, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP04,  36, 203N,  909W,  21, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP04,  42, 207N,  905W,  23, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP04,  48, 213N,  899W,  23, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP04,  54, 220N,  891W,  23, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP04,  60, 225N,  887W,  20, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP04,  66, 238N,  880W,  26, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP04,  72, 251N,  870W,  24, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP04,  78, 258N,  863W,  23, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP04,  84, 266N,  860W,  21, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP04,  90, 277N,  854W,  24, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP04,  96, 286N,  848W,  23, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP04, 102, 291N,  840W,  18, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP04, 108, 297N,  839W,  17, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP04, 114, 309N,  825W,  18, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP04, 120, 317N,  819W,  17, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP04, 126, 333N,  807W,  16, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP04, 132, 356N,  798W,  12, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP04, 138, 383N,  767W,  18, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP04, 144, 404N,  742W,  22, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP04, 150, 430N,  707W,  26, 1001, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP04, 156, 448N,  666W,  29,  993, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP04, 162, 471N,  627W,  30,  993, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP04, 168, 497N,  599W,  25,  991, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP04, 174, 526N,  567W,  37,  991, XX,  34, NEQ,  208,  298,    0,    0, 
AL, 18, 2011090618, 03, AP04, 180, 550N,  554W,  44,  987, XX,  34, NEQ,  306,  263,    0,  303, 
AL, 18, 2011090618, 03, AP04, 186, 572N,  564W,  47,  984, XX,  34, NEQ,  300,  342,  120,  291, 
AL, 18, 2011090618, 03, AP04, 192, 593N,  572W,  51,  984, XX,  34, NEQ,  313,  328,  104,    0, 
AL, 18, 2011090618, 03, AP04, 192, 593N,  572W,  51,  984, XX,  50, NEQ,  223,    0,    0,    0, 
AL, 18, 2011090618, 03, AP04, 198, 618N,  581W,  56,  986, XX,  34, NEQ,  229,  342,    0,    0, 
AL, 18, 2011090618, 03, AP04, 198, 618N,  581W,  56,  986, XX,  50, NEQ,  200,  236,    0,    0, 
AL, 18, 2011090618, 03, AP04, 204, 641N,  596W,  48,  988, XX,  34, NEQ,  160,  640,    0,    0, 
AL, 18, 2011090618, 03, AP04, 210, 667N,  601W,  44,  991, XX,  34, NEQ,  122,  185,    0,    0, 
AL, 18, 2011090618, 03, AP04, 216, 702N,  627W,  37,  993, XX,  34, NEQ,    0,  137,    0,    0, 
AL, 18, 2011090618, 03, AP04, 222, 722N,  650W,  32,  994, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP04, 228, 742N,  662W,  27,  995, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP04, 234, 757N,  694W,  23,  996, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP04, 240, 775N,  743W,  19,  996, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP05,   0, 202N,  930W,  25, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP05,   6, 194N,  933W,  23, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP05,  12, 189N,  937W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP05,  18, 191N,  937W,  25, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP05,  24, 192N,  935W,  27, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP05,  30, 191N,  932W,  25, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP05,  36, 182N,  928W,  25, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP05,  42, 180N,  925W,  29, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP05,  48, 177N,  921W,  29, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP05,  54, 177N,  915W,  24, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP05,  60, 181N,  910W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP05,  66, 185N,  906W,  21, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP05,  72, 190N,  903W,  19, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP05,  78, 192N,  901W,  17, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 18, 2011090618, 03, AP05,  84, 198N,  902W,  13, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
