AL, 92, 2013083112, 03, SHIP,   0, 150N,  540W,  25,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, SHIP,  12, 151N,  561W,  28,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, SHIP,  24, 150N,  580W,  31,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, SHIP,  36, 149N,  598W,  36,    0, TS,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, SHIP,  48, 147N,  614W,  42,    0, TS,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, SHIP,  60, 147N,  630W,  50,    0, TS,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, SHIP,  72, 149N,  647W,  56,    0, TS,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, SHIP,  84, 155N,  665W,  62,    0, TS,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, SHIP,  96, 164N,  685W,  66,    0, HU,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, SHIP, 108, 175N,  706W,  70,    0, HU,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, SHIP, 120, 186N,  728W,  71,    0, HU,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, XTRP,   0, 150N,  540W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, XTRP,  12, 152N,  566W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, XTRP,  24, 154N,  593W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, XTRP,  36, 155N,  620W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, XTRP,  48, 157N,  647W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, XTRP,  60, 159N,  674W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, XTRP,  72, 161N,  702W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, XTRP,  84, 163N,  729W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, XTRP,  96, 165N,  756W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, XTRP, 108, 166N,  783W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, XTRP, 120, 168N,  810W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, XTRP, 132, 170N,  838W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, XTRP, 144, 172N,  865W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 92, 2013083112, 03, XTRP, 156, 174N,  892W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
